"seed","roi","roi_label","network","n","mean_PSIL","mean_MTP","mean_delta","d_z","d_av","p_value","p_wilcox","p_FDR","p_wilcox_FDR","significant","sig_wilcox"
"NAc",186,"RH_Default_Temp_2","Default",6,0.229796373175436,0.127589973167074,0.102206400008363,1.62724318054053,1.01999110797279,0.0104689145510286,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"PUT",170,"RH_Cont_PFCl_1","Cont",6,0.490196301889414,0.155634379993211,0.334561921896202,6.79568821762162,4.4868085457859,1.42925740436925e-05,0.0360316862182336,0.00222465353026342,0.0899415430953063,TRUE,FALSE
"PUT",66,"LH_Cont_PFCl_1","Cont",6,0.419879226787659,0.158827826911862,0.261051399875797,6.37879985188666,3.4268905156966,1.95145046514335e-05,0.0360316862182336,0.00222465353026342,0.0899415430953063,TRUE,FALSE
"PUT",137,"RH_DorsAttn_Post_3","DorsAttn",6,0.589130705355186,0.287644380242848,0.301486325112338,4.3739758352013,3.62480508720159,0.000122698336510008,0.0360316862182336,0.00760510768392687,0.0899415430953063,TRUE,FALSE
"PUT",60,"LH_Limbic_TempPole_4","Limbic",6,0.40940088797305,0.213593762961037,0.195807125012013,4.29855845898978,4.0917898185782,0.000133422941823278,0.0360316862182336,0.00760510768392687,0.0899415430953063,TRUE,FALSE
"PUT",160,"RH_Limbic_OFC_2","Limbic",6,0.506703379406128,0.223393263935544,0.283310115470584,3.53986792384941,3.63206842530214,0.000337294884124055,0.0360316862182336,0.0151630316936534,0.0899415430953063,TRUE,FALSE
"PUT",195,"RH_Default_PFCdPFCm_5","Default",6,0.456620803384873,0.158960968621294,0.297659834763578,3.40362361448503,3.85060621900962,0.0004059761037222,0.0360316862182336,0.0151630316936534,0.0899415430953063,TRUE,FALSE
"PUT",65,"LH_Cont_OFC_1","Cont",6,0.444725194379691,0.192699299788628,0.252025894591063,3.30600136070686,2.64094273091757,0.000465531674805148,0.0360316862182336,0.0151630316936534,0.0899415430953063,TRUE,FALSE
"PUT",93,"LH_Default_PFC_11","Default",6,0.432219634288987,0.157712546483842,0.274507087805145,3.09386221778624,2.79273704659396,0.000634792255383363,0.0360316862182336,0.0158973452413695,0.0899415430953063,TRUE,FALSE
"PUT",139,"RH_DorsAttn_Post_5","DorsAttn",6,0.584609216754965,0.305879308507597,0.278729908247368,3.03931322149352,2.86378942064995,0.000689535103164659,0.0360316862182336,0.0158973452413695,0.0899415430953063,TRUE,FALSE
"PUT",127,"RH_SomMot_12","SomMot",6,0.514757961726608,0.299097885679772,0.215660076046836,3.03203765636534,2.86396662417504,0.000697251984270593,0.0360316862182336,0.0158973452413695,0.0899415430953063,TRUE,FALSE
"THA",227,"Subcortex_pGP-lh","Subcortex",6,0.16630326196775,0.0846714083748364,0.0816318535929136,4.27741278511093,2.45374810278243,0.000136628203447266,0.0360316862182336,0.0306047175721875,0.162343537569947,TRUE,FALSE
"THA",159,"RH_Limbic_OFC_1","Limbic",6,0.228710403700086,0.106859768738753,0.121850634961333,2.41458093336705,1.14645002756905,0.00196843041256963,0.0360316862182336,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",134,"RH_SomMot_19","SomMot",6,0.454153174386947,0.278235138964458,0.175918035422488,1.98070036443271,2.35707646267245,0.00466687239291035,0.0360316862182336,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",157,"RH_SalVentAttn_Med_2","SalVentAttn",6,0.537567636765178,0.273992040439186,0.263575596325992,1.75888216780566,2.37452021720123,0.00765449016082205,0.0360316862182336,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",210,"Subcortex_NAc-core-rh","Subcortex",6,0.288391129702643,0.184936483124749,0.103454646577894,1.65396938815816,1.16817097260631,0.00981201823824289,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",145,"RH_DorsAttn_FEF_1","DorsAttn",6,0.499014538994801,0.272316697852418,0.226697841142383,1.63282788159414,2.34355848094905,0.0103275651461874,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",68,"LH_Cont_PFCl_3","Cont",6,0.501028107023216,0.21215328437821,0.288874822645007,1.49297170163075,2.51952681772776,0.0146404352501542,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",61,"LH_Cont_Par_1","Cont",6,0.433229290559865,0.183470417448753,0.249758873111112,1.47522413251482,2.54751067987657,0.0153231431762007,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",191,"RH_Default_PFCdPFCm_1","Default",6,0.31637919846288,0.218661398202814,0.097717800260066,1.45429975526325,0.781015964453302,0.0161752099033698,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",65,"LH_Cont_OFC_1","Cont",6,0.397345479299219,0.202846937518124,0.194498541781096,1.35186736519174,1.6416384221743,0.0212080956998425,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
