"seed","roi","roi_label","network","dz_primary","sign_primary","n_dir","n_dir_noGSR","converge_S0","sign_match_GSR"
"AMY",153,"RH_SalVentAttn_FrOperIns_2","SalVentAttn",0.686348968525198,1,7,6,TRUE,TRUE
"AMY",154,"RH_SalVentAttn_FrOperIns_3","SalVentAttn",0.880522122498731,1,7,6,TRUE,TRUE
"AMY",155,"RH_SalVentAttn_FrOperIns_4","SalVentAttn",0.856663451629912,1,7,6,TRUE,TRUE
"AMY",156,"RH_SalVentAttn_Med_1","SalVentAttn",0.76891180123921,1,6,5,TRUE,TRUE
"AMY",157,"RH_SalVentAttn_Med_2","SalVentAttn",1.3103202596556,1,7,6,TRUE,TRUE
"AMY",158,"RH_SalVentAttn_Med_3","SalVentAttn",0.570246754409242,1,7,6,TRUE,TRUE
"AMY",159,"RH_Limbic_OFC_1","Limbic",1.14442263057097,1,4,4,FALSE,FALSE
"AMY",160,"RH_Limbic_OFC_2","Limbic",0.430050154112732,1,5,5,FALSE,FALSE
"AMY",161,"RH_Limbic_OFC_3","Limbic",0.289501995973074,1,6,5,TRUE,TRUE
"AMY",162,"RH_Limbic_TempPole_1","Limbic",0.576109007617385,1,7,6,TRUE,TRUE
"AMY",163,"RH_Limbic_TempPole_2","Limbic",-0.038855834265319,-1,6,5,TRUE,TRUE
"AMY",164,"RH_Limbic_TempPole_3","Limbic",0.26165495776547,1,7,6,TRUE,TRUE
"AMY",165,"RH_Cont_Par_1","Cont",1.13464052588334,1,7,6,TRUE,TRUE
"AMY",166,"RH_Cont_Par_2","Cont",0.926982507921018,1,7,6,TRUE,TRUE
"AMY",167,"RH_Cont_Par_3","Cont",0.893688127286699,1,7,6,TRUE,TRUE
"AMY",168,"RH_Cont_Temp_1","Cont",0.9879226758121,1,4,4,FALSE,FALSE
"AMY",169,"RH_Cont_PFCv_1","Cont",0.835415416351439,1,7,6,TRUE,TRUE
"AMY",170,"RH_Cont_PFCl_1","Cont",1.03176895471665,1,7,6,TRUE,TRUE
"AMY",171,"RH_Cont_PFCl_2","Cont",0.737911893338332,1,7,6,TRUE,TRUE
"AMY",172,"RH_Cont_PFCl_3","Cont",0.833743448518927,1,7,6,TRUE,TRUE
"AMY",173,"RH_Cont_PFCl_4","Cont",0.933496853257812,1,7,6,TRUE,TRUE
"AMY",174,"RH_Cont_PFCl_5","Cont",0.963787785966887,1,7,6,TRUE,TRUE
"AMY",175,"RH_Cont_PFCl_6","Cont",0.777177784815859,1,7,6,TRUE,TRUE
"AMY",176,"RH_Cont_PFCl_7","Cont",0.753500063711839,1,7,6,TRUE,TRUE
"AMY",177,"RH_Cont_pCun_1","Cont",0.843630292493885,1,7,6,TRUE,TRUE
"AMY",178,"RH_Cont_Cing_1","Cont",0.587137497064263,1,7,6,TRUE,TRUE
"AMY",179,"RH_Cont_Cing_2","Cont",0.311846863256938,1,5,4,FALSE,TRUE
"AMY",180,"RH_Cont_PFCmp_1","Cont",0.635851822737402,1,7,6,TRUE,TRUE
"AMY",181,"RH_Cont_PFCmp_2","Cont",0.585213428921193,1,7,6,TRUE,TRUE
"AMY",182,"RH_Default_Par_1","Default",1.0422266648452,1,7,6,TRUE,TRUE
"AMY",183,"RH_Default_Par_2","Default",1.00982788314773,1,6,5,TRUE,TRUE
"AMY",184,"RH_Default_Par_3","Default",0.888359514232587,1,7,6,TRUE,TRUE
"AMY",185,"RH_Default_Temp_1","Default",0.381005311037677,1,4,4,FALSE,FALSE
"AMY",186,"RH_Default_Temp_2","Default",0.350880649709004,1,6,5,TRUE,TRUE
"AMY",187,"RH_Default_Temp_3","Default",0.324698582970154,1,5,5,FALSE,FALSE
"AMY",188,"RH_Default_Temp_4","Default",0.463179595409019,1,5,5,FALSE,FALSE
"AMY",189,"RH_Default_Temp_5","Default",0.349131919669132,1,3,3,FALSE,FALSE
"AMY",190,"RH_Default_PFCv_1","Default",0.706537890863168,1,5,5,FALSE,FALSE
"AMY",191,"RH_Default_PFCdPFCm_1","Default",-0.0502033011164056,-1,6,5,TRUE,TRUE
"AMY",192,"RH_Default_PFCdPFCm_2","Default",0.543963056224767,1,5,5,FALSE,FALSE
"AMY",193,"RH_Default_PFCdPFCm_3","Default",0.360548167854931,1,3,3,FALSE,FALSE
"AMY",194,"RH_Default_PFCdPFCm_4","Default",0.458348104635118,1,5,5,FALSE,FALSE
"AMY",195,"RH_Default_PFCdPFCm_5","Default",0.517247533503302,1,5,5,FALSE,FALSE
"AMY",196,"RH_Default_PFCdPFCm_6","Default",0.739057361492466,1,6,6,TRUE,FALSE
"AMY",197,"RH_Default_PFCdPFCm_7","Default",0.693700637193483,1,6,6,TRUE,FALSE
"AMY",198,"RH_Default_pCunPCC_1","Default",0.571907174902638,1,4,4,FALSE,FALSE
"AMY",199,"RH_Default_pCunPCC_2","Default",0.384265762501096,1,4,4,FALSE,FALSE
"AMY",200,"RH_Default_pCunPCC_3","Default",0.500776987018925,1,5,5,FALSE,FALSE
"AMY",201,"Subcortex_aHIP-rh","Subcortex",0.200052198352475,1,6,5,TRUE,TRUE
"AMY",202,"Subcortex_pHIP-rh","Subcortex",0.0335468365290368,1,5,5,FALSE,FALSE
"AMY",205,"Subcortex_THA-DP-rh","Subcortex",2.03365271616303,1,4,4,FALSE,FALSE
"AMY",206,"Subcortex_THA-VP-rh","Subcortex",0.393864479587533,1,5,5,FALSE,FALSE
"AMY",207,"Subcortex_THA-VA-rh","Subcortex",0.485734530300792,1,5,5,FALSE,FALSE
"AMY",208,"Subcortex_THA-DA-rh","Subcortex",0.540815304917493,1,5,5,FALSE,FALSE
"AMY",209,"Subcortex_NAc-shell-rh","Subcortex",-0.0374164259541001,-1,6,5,TRUE,TRUE
"AMY",210,"Subcortex_NAc-core-rh","Subcortex",0.54730478847815,1,4,4,FALSE,FALSE
"AMY",211,"Subcortex_pGP-rh","Subcortex",0.656428072190504,1,7,6,TRUE,TRUE
"AMY",212,"Subcortex_aGP-rh","Subcortex",0.334580669916861,1,6,5,TRUE,TRUE
"AMY",213,"Subcortex_aPUT-rh","Subcortex",1.14985626398601,1,4,4,FALSE,FALSE
"AMY",214,"Subcortex_pPUT-rh","Subcortex",0.73076316345535,1,7,6,TRUE,TRUE
"AMY",215,"Subcortex_aCAU-rh","Subcortex",0.292901679552225,1,3,3,FALSE,FALSE
"AMY",216,"Subcortex_pCAU-rh","Subcortex",0.405251206559895,1,6,6,TRUE,FALSE
"AMY",217,"Subcortex_aHIP-lh","Subcortex",0.0296519046300255,1,5,5,FALSE,FALSE
"AMY",218,"Subcortex_pHIP-lh","Subcortex",0.140082554530861,1,5,5,FALSE,FALSE
"AMY",221,"Subcortex_THA-DP-lh","Subcortex",0.244941383248595,1,6,6,TRUE,FALSE
"AMY",222,"Subcortex_THA-VP-lh","Subcortex",0.398967437247138,1,5,5,FALSE,FALSE
"AMY",223,"Subcortex_THA-VA-lh","Subcortex",0.28104315095441,1,4,4,FALSE,FALSE
"AMY",224,"Subcortex_THA-DA-lh","Subcortex",0.327726807371006,1,6,5,TRUE,TRUE
"AMY",225,"Subcortex_NAc-shell-lh","Subcortex",0.426478422978007,1,4,4,FALSE,FALSE
"AMY",226,"Subcortex_NAc-core-lh","Subcortex",0.447064552456679,1,4,4,FALSE,FALSE
"AMY",227,"Subcortex_pGP-lh","Subcortex",1.13033787970582,1,7,6,TRUE,TRUE
"AMY",228,"Subcortex_aGP-lh","Subcortex",1.1887991116228,1,4,4,FALSE,FALSE
"AMY",229,"Subcortex_aPUT-lh","Subcortex",0.505792449744849,1,4,4,FALSE,FALSE
"AMY",230,"Subcortex_pPUT-lh","Subcortex",0.306015107859323,1,3,3,FALSE,FALSE
"AMY",231,"Subcortex_aCAU-lh","Subcortex",0.517142125565998,1,4,4,FALSE,FALSE
"AMY",232,"Subcortex_pCAU-lh","Subcortex",0.383541263868123,1,4,4,FALSE,FALSE
"HIP",1,"LH_Vis_1","Vis",0.716103936364096,1,6,6,TRUE,FALSE
"HIP",2,"LH_Vis_2","Vis",1.07317168261325,1,7,6,TRUE,TRUE
"HIP",3,"LH_Vis_3","Vis",1.25435798633586,1,7,6,TRUE,TRUE
"HIP",4,"LH_Vis_4","Vis",0.569366190693744,1,5,5,FALSE,FALSE
"HIP",5,"LH_Vis_5","Vis",0.395296243360671,1,7,6,TRUE,TRUE
"HIP",6,"LH_Vis_6","Vis",0.663520551350961,1,4,4,FALSE,FALSE
"HIP",7,"LH_Vis_7","Vis",0.444713294119365,1,7,6,TRUE,TRUE
"HIP",8,"LH_Vis_8","Vis",0.692005090969282,1,7,6,TRUE,TRUE
"HIP",9,"LH_Vis_9","Vis",0.607650043717597,1,7,6,TRUE,TRUE
"HIP",10,"LH_Vis_10","Vis",0.439570326252222,1,6,6,TRUE,FALSE
"HIP",11,"LH_Vis_11","Vis",0.952398942506382,1,7,6,TRUE,TRUE
"HIP",12,"LH_Vis_12","Vis",0.788290083974734,1,5,5,FALSE,FALSE
"HIP",13,"LH_Vis_13","Vis",0.768332819124621,1,7,6,TRUE,TRUE
"HIP",14,"LH_Vis_14","Vis",0.924521164529227,1,7,6,TRUE,TRUE
"HIP",15,"LH_SomMot_1","SomMot",0.733582244149084,1,7,6,TRUE,TRUE
"HIP",16,"LH_SomMot_2","SomMot",0.643417082488561,1,6,6,TRUE,FALSE
"HIP",17,"LH_SomMot_3","SomMot",0.546655282970789,1,7,6,TRUE,TRUE
"HIP",18,"LH_SomMot_4","SomMot",0.551584363973956,1,6,6,TRUE,FALSE
"HIP",19,"LH_SomMot_5","SomMot",0.356049948252994,1,6,6,TRUE,FALSE
"HIP",20,"LH_SomMot_6","SomMot",0.101830121000952,1,5,5,FALSE,FALSE
"HIP",21,"LH_SomMot_7","SomMot",0.461488795377469,1,6,6,TRUE,FALSE
"HIP",22,"LH_SomMot_8","SomMot",0.574363589662935,1,6,6,TRUE,FALSE
"HIP",23,"LH_SomMot_9","SomMot",0.565984745309374,1,6,6,TRUE,FALSE
"HIP",24,"LH_SomMot_10","SomMot",0.765542759558836,1,6,6,TRUE,FALSE
"HIP",25,"LH_SomMot_11","SomMot",0.769789240384086,1,6,6,TRUE,FALSE
"HIP",26,"LH_SomMot_12","SomMot",0.465160046993635,1,6,6,TRUE,FALSE
"HIP",27,"LH_SomMot_13","SomMot",0.547102706137053,1,6,6,TRUE,FALSE
"HIP",28,"LH_SomMot_14","SomMot",0.481678754673515,1,6,6,TRUE,FALSE
"HIP",29,"LH_SomMot_15","SomMot",0.80423296459328,1,6,6,TRUE,FALSE
"HIP",30,"LH_SomMot_16","SomMot",1.05985798082167,1,7,6,TRUE,TRUE
"HIP",31,"LH_DorsAttn_Post_1","DorsAttn",0.801916160541224,1,6,6,TRUE,FALSE
"HIP",32,"LH_DorsAttn_Post_2","DorsAttn",0.837974045147595,1,7,6,TRUE,TRUE
"HIP",33,"LH_DorsAttn_Post_3","DorsAttn",1.05434672283811,1,7,6,TRUE,TRUE
"HIP",34,"LH_DorsAttn_Post_4","DorsAttn",0.852605895113362,1,6,6,TRUE,FALSE
"HIP",35,"LH_DorsAttn_Post_5","DorsAttn",0.843481113926819,1,7,6,TRUE,TRUE
"HIP",36,"LH_DorsAttn_Post_6","DorsAttn",1.05894279932211,1,7,6,TRUE,TRUE
"HIP",37,"LH_DorsAttn_Post_7","DorsAttn",1.02889466819815,1,7,6,TRUE,TRUE
"HIP",38,"LH_DorsAttn_Post_8","DorsAttn",0.951626787385995,1,7,6,TRUE,TRUE
"HIP",39,"LH_DorsAttn_Post_9","DorsAttn",0.83255457903454,1,6,6,TRUE,FALSE
"HIP",40,"LH_DorsAttn_Post_10","DorsAttn",0.78062046596386,1,7,6,TRUE,TRUE
"HIP",41,"LH_DorsAttn_FEF_1","DorsAttn",0.950671682130759,1,7,6,TRUE,TRUE
"HIP",42,"LH_DorsAttn_FEF_2","DorsAttn",1.19095064909032,1,6,6,TRUE,FALSE
"HIP",43,"LH_DorsAttn_PrCv_1","DorsAttn",1.257201636097,1,7,6,TRUE,TRUE
"HIP",44,"LH_SalVentAttn_ParOper_1","SalVentAttn",0.500160452268994,1,6,6,TRUE,FALSE
"HIP",45,"LH_SalVentAttn_ParOper_2","SalVentAttn",0.489827572200756,1,6,6,TRUE,FALSE
"HIP",46,"LH_SalVentAttn_ParOper_3","SalVentAttn",0.821832032172278,1,7,6,TRUE,TRUE
"HIP",47,"LH_SalVentAttn_FrOperIns_1","SalVentAttn",0.690874332771906,1,7,6,TRUE,TRUE
