"pipeline","seed","roi","roi_label","network","n","mean_delta","d_z","p_value","p_FDR","sig_FDR"
"OC_36P_GSR","NAc",164,"RH_Limbic_TempPole_3","Limbic",6,-0.0150936295049102,-0.190290952578659,0.660733481406296,0.929444604464255,FALSE
"OC_36P_GSR","NAc",165,"RH_Cont_Par_1","Cont",6,0.008543097707949,0.0715957852841371,0.867667361501412,0.985746321514797,FALSE
"OC_36P_GSR","NAc",166,"RH_Cont_Par_2","Cont",6,-0.00440247627378187,-0.0474268131449934,0.912038343429441,0.985746321514797,FALSE
"OC_36P_GSR","NAc",167,"RH_Cont_Par_3","Cont",6,-0.0184222265764543,-0.197436116293151,0.649092908754766,0.929444604464255,FALSE
"OC_36P_GSR","NAc",168,"RH_Cont_Temp_1","Cont",6,0.0350045500103216,0.64693217365608,0.17389888706056,0.889696748008849,FALSE
"OC_36P_GSR","NAc",169,"RH_Cont_PFCv_1","Cont",6,0.0475865412666625,0.472840387216338,0.299086911333653,0.889696748008849,FALSE
"OC_36P_GSR","NAc",170,"RH_Cont_PFCl_1","Cont",6,0.075166063236741,0.630462533818886,0.183167658829569,0.889696748008849,FALSE
"OC_36P_GSR","NAc",171,"RH_Cont_PFCl_2","Cont",6,0.0540330718176989,0.487976733672091,0.285567581555818,0.889696748008849,FALSE
"OC_36P_GSR","NAc",172,"RH_Cont_PFCl_3","Cont",6,0.0297351491716114,0.232684586618399,0.593359607281227,0.929444604464255,FALSE
"OC_36P_GSR","NAc",173,"RH_Cont_PFCl_4","Cont",6,0.0401023720059112,0.455700278548547,0.315073328320442,0.889696748008849,FALSE
"OC_36P_GSR","NAc",174,"RH_Cont_PFCl_5","Cont",6,-0.0312068082621806,-0.610537695773137,0.195026012757169,0.889696748008849,FALSE
"OC_36P_GSR","NAc",175,"RH_Cont_PFCl_6","Cont",6,-0.0014393401912749,-0.0192495474297912,0.96421780724079,0.985746321514797,FALSE
"OC_36P_GSR","NAc",176,"RH_Cont_PFCl_7","Cont",6,0.0399555059526714,0.378470138214898,0.396442223537151,0.889696748008849,FALSE
"OC_36P_GSR","NAc",177,"RH_Cont_pCun_1","Cont",6,-0.0358367719150547,-0.697505608994157,0.148237171515979,0.889696748008849,FALSE
"OC_36P_GSR","NAc",178,"RH_Cont_Cing_1","Cont",6,0.0363884782646447,0.523935508336877,0.255621388149916,0.889696748008849,FALSE
"OC_36P_GSR","NAc",179,"RH_Cont_Cing_2","Cont",6,0.0154850891231188,0.230264453453922,0.597092886003202,0.929444604464255,FALSE
"OC_36P_GSR","NAc",180,"RH_Cont_PFCmp_1","Cont",6,-0.0319185869640855,-0.398466100166544,0.373871581101992,0.889696748008849,FALSE
"OC_36P_GSR","NAc",181,"RH_Cont_PFCmp_2","Cont",6,0.039260202587338,0.351909842765753,0.428084348497581,0.889696748008849,FALSE
"OC_36P_GSR","NAc",182,"RH_Default_Par_1","Default",6,-0.0273567228481006,-0.382925173583899,0.391320937446281,0.889696748008849,FALSE
"OC_36P_GSR","NAc",183,"RH_Default_Par_2","Default",6,-0.0257414794014263,-0.383582093113095,0.390570280243596,0.889696748008849,FALSE
"OC_36P_GSR","NAc",184,"RH_Default_Par_3","Default",6,-0.0397297133104194,-0.610496011435427,0.19505158432807,0.889696748008849,FALSE
"OC_36P_GSR","NAc",185,"RH_Default_Temp_1","Default",6,0.0078836637594846,0.137394139005237,0.750124884219015,0.963880760871573,FALSE
"OC_36P_GSR","NAc",186,"RH_Default_Temp_2","Default",6,-0.0149050958798079,-0.28972616451993,0.509617030455147,0.914903015305304,FALSE
"OC_36P_GSR","NAc",187,"RH_Default_Temp_3","Default",6,-0.00322551007402578,-0.0480346407208818,0.910917195857146,0.985746321514797,FALSE
"OC_36P_GSR","NAc",188,"RH_Default_Temp_4","Default",6,-0.0286752572554961,-0.444862005016784,0.325560897508214,0.889696748008849,FALSE
"OC_36P_GSR","NAc",189,"RH_Default_Temp_5","Default",6,-0.0231989194267488,-0.361090249555093,0.416931982357672,0.889696748008849,FALSE
"OC_36P_GSR","NAc",190,"RH_Default_PFCv_1","Default",6,0.020305337654009,0.244847061052892,0.574814146085945,0.929444604464255,FALSE
"OC_36P_GSR","NAc",191,"RH_Default_PFCdPFCm_1","Default",6,-0.0103385544331992,-0.0931535419683477,0.82854538058333,0.977094988339597,FALSE
"OC_36P_GSR","NAc",192,"RH_Default_PFCdPFCm_2","Default",6,0.00565672942835766,0.0491279628164446,0.90890113945599,0.985746321514797,FALSE
"OC_36P_GSR","NAc",193,"RH_Default_PFCdPFCm_3","Default",6,0.030543407585659,0.376337790484166,0.398912328224623,0.889696748008849,FALSE
"OC_36P_GSR","NAc",194,"RH_Default_PFCdPFCm_4","Default",6,-0.0266294931056274,-0.347557810955055,0.433450899204367,0.889696748008849,FALSE
"OC_36P_GSR","NAc",195,"RH_Default_PFCdPFCm_5","Default",6,0.00199822953561443,0.030976988208403,0.942458790513574,0.985746321514797,FALSE
"OC_36P_GSR","NAc",196,"RH_Default_PFCdPFCm_6","Default",6,-0.0013059297787193,-0.0174777091556511,0.967508868920283,0.985746321514797,FALSE
"OC_36P_GSR","NAc",197,"RH_Default_PFCdPFCm_7","Default",6,0.044908634969234,0.606435830845411,0.197557898885702,0.889696748008849,FALSE
"OC_36P_GSR","NAc",198,"RH_Default_pCunPCC_1","Default",6,-0.013591793117156,-0.206845348791777,0.633935698322083,0.929444604464255,FALSE
"OC_36P_GSR","NAc",199,"RH_Default_pCunPCC_2","Default",6,0.00540715156247616,0.0584320098007076,0.891777885461224,0.985746321514797,FALSE
"OC_36P_GSR","NAc",200,"RH_Default_pCunPCC_3","Default",6,0.0235836550317695,0.460142587561794,0.310860040420349,0.889696748008849,FALSE
"OC_36P_GSR","NAc",201,"Subcortex_aHIP-rh","Subcortex",6,-0.0191211485716063,-0.323297038517297,0.464306735337308,0.896181267046406,FALSE
"OC_36P_GSR","NAc",202,"Subcortex_pHIP-rh","Subcortex",6,-0.00819852984331478,-0.12749140786998,0.767424795402732,0.972071407510127,FALSE
"OC_36P_GSR","NAc",203,"Subcortex_lAMY-rh","Subcortex",6,-0.0242084771859654,-0.228576114144228,0.599705664852112,0.929444604464255,FALSE
"OC_36P_GSR","NAc",204,"Subcortex_mAMY-rh","Subcortex",6,-0.000640779175686797,-0.0091211130187159,0.98303929263022,0.987369862201278,FALSE
"OC_36P_GSR","NAc",205,"Subcortex_THA-DP-rh","Subcortex",6,0.0316492163012573,0.56516511077334,0.224846193912102,0.889696748008849,FALSE
"OC_36P_GSR","NAc",206,"Subcortex_THA-VP-rh","Subcortex",6,-0.00155164828711228,-0.012316462103073,0.97709942395765,0.985746321514797,FALSE
"OC_36P_GSR","NAc",207,"Subcortex_THA-VA-rh","Subcortex",6,0.0574046270721481,0.447463318863882,0.323016693748451,0.889696748008849,FALSE
"OC_36P_GSR","NAc",208,"Subcortex_THA-DA-rh","Subcortex",6,0.00554166677210779,0.0635569093324904,0.882373770806626,0.985746321514797,FALSE
"OC_36P_GSR","NAc",209,"Subcortex_NAc-shell-rh","Subcortex",0,NA,NA,NA,NA,FALSE
"OC_36P_GSR","NAc",210,"Subcortex_NAc-core-rh","Subcortex",0,NA,NA,NA,NA,FALSE
"OC_36P_GSR","NAc",211,"Subcortex_pGP-rh","Subcortex",6,-0.00239192237006471,-0.0210896847968365,0.960800740965663,0.985746321514797,FALSE
"OC_36P_GSR","NAc",212,"Subcortex_aGP-rh","Subcortex",6,0.033457883051907,0.407148930896954,0.364402199407028,0.889696748008849,FALSE
"OC_36P_GSR","NAc",213,"Subcortex_aPUT-rh","Subcortex",6,0.0326369254746825,0.390662591693736,0.382552777711176,0.889696748008849,FALSE
"OC_36P_GSR","NAc",214,"Subcortex_pPUT-rh","Subcortex",6,-0.0311789932185352,-0.247047304733524,0.571498171716733,0.929444604464255,FALSE
"OC_36P_GSR","NAc",215,"Subcortex_aCAU-rh","Subcortex",6,0.0202005823802784,0.247996092457964,0.570071981038388,0.929444604464255,FALSE
"OC_36P_GSR","NAc",216,"Subcortex_pCAU-rh","Subcortex",6,0.0399206015384325,0.632769402215451,0.181840877059867,0.889696748008849,FALSE
"OC_36P_GSR","NAc",217,"Subcortex_aHIP-lh","Subcortex",6,-0.0799801453862419,-0.638853187717297,0.178386695223318,0.889696748008849,FALSE
"OC_36P_GSR","NAc",218,"Subcortex_pHIP-lh","Subcortex",6,-0.00186360699208962,-0.0365749195781371,0.932091133619745,0.985746321514797,FALSE
"OC_36P_GSR","NAc",219,"Subcortex_lAMY-lh","Subcortex",6,-0.0799754403645576,-0.915911163770655,0.0748836022845537,0.889696748008849,FALSE
"OC_36P_GSR","NAc",220,"Subcortex_mAMY-lh","Subcortex",6,-0.0132882020030521,-0.147520596411682,0.732604742097761,0.9490561431721,FALSE
"OC_36P_GSR","NAc",221,"Subcortex_THA-DP-lh","Subcortex",6,-0.00125182990256,-0.0153990000227566,0.971370850803437,0.985746321514797,FALSE
"OC_36P_GSR","NAc",222,"Subcortex_THA-VP-lh","Subcortex",6,-0.0327863764546372,-0.363606627917997,0.413914881523647,0.889696748008849,FALSE
"OC_36P_GSR","NAc",223,"Subcortex_THA-VA-lh","Subcortex",6,0.0435894271925391,0.576501927704229,0.21701289854794,0.889696748008849,FALSE
"OC_36P_GSR","NAc",224,"Subcortex_THA-DA-lh","Subcortex",6,0.0219044186368656,0.223140755079313,0.608163443464206,0.929444604464255,FALSE
"OC_36P_GSR","NAc",225,"Subcortex_NAc-shell-lh","Subcortex",0,NA,NA,NA,NA,FALSE
"OC_36P_GSR","NAc",226,"Subcortex_NAc-core-lh","Subcortex",0,NA,NA,NA,NA,FALSE
"OC_36P_GSR","NAc",227,"Subcortex_pGP-lh","Subcortex",6,0.00455217005358395,0.0500058882573673,0.907282830520289,0.985746321514797,FALSE
"OC_36P_GSR","NAc",228,"Subcortex_aGP-lh","Subcortex",6,0.031507961035234,0.198500387806014,0.64736860090871,0.929444604464255,FALSE
"OC_36P_GSR","NAc",229,"Subcortex_aPUT-lh","Subcortex",6,0.0481367455115925,0.407488555026957,0.364035861057457,0.889696748008849,FALSE
"OC_36P_GSR","NAc",230,"Subcortex_pPUT-lh","Subcortex",6,0.0172493696339929,0.292873084542569,0.505241958892456,0.91424735418635,FALSE
"OC_36P_GSR","NAc",231,"Subcortex_aCAU-lh","Subcortex",6,0.062193340431009,0.620439000296655,0.189042967310869,0.889696748008849,FALSE
"OC_36P_GSR","NAc",232,"Subcortex_pCAU-lh","Subcortex",6,0.0626644398437249,0.812768617752697,0.103135502230652,0.889696748008849,FALSE
"OC_36P_GSR","PUT",1,"LH_Vis_1","Vis",6,0.00376214126508162,0.0328060994717201,0.93906964675003,0.976770847934223,FALSE
"OC_36P_GSR","PUT",2,"LH_Vis_2","Vis",6,-0.00654287296854858,-0.0671510588954968,0.875791536919121,0.976770847934223,FALSE
"OC_36P_GSR","PUT",3,"LH_Vis_3","Vis",6,-0.0159079986306316,-0.203217809721151,0.639755791662139,0.976770847934223,FALSE
"OC_36P_GSR","PUT",4,"LH_Vis_4","Vis",6,-0.0368250466902157,-0.581144649363163,0.213880117186253,0.90059423302719,FALSE
"OC_36P_GSR","PUT",5,"LH_Vis_5","Vis",6,-0.0382629763615549,-0.213333190415258,0.623601071559841,0.976770847934223,FALSE
"OC_36P_GSR","PUT",6,"LH_Vis_6","Vis",6,0.00121384407365915,0.0210740830008212,0.960829709023945,0.976770847934223,FALSE
