Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_104	21.091622609844716	7.0294309381317195	0.12452908475839976	0.2080528714301289	5288	0	0.43549340161512706	0.0	26.433730758036333	6.915469868294778e-132	-1	19.117362565140105	accepted	Likely BOLD
ICA_105	8.675086415498658	7.861009807601439	0.10147202093199041	0.1462436580398961	0	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_106	8.773856678404577	7.820384083313213	0.08892986377270691	0.12890195063391746	0	89	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_107	8.454503666743815	7.488981106118884	0.08150002092941892	0.12536368660090497	0	0	0.0	0.0	0.0	0.0	1	12.435939214316283	accepted	Low variance
ICA_108	8.437825623428603	7.9687382038498	0.08529688843257409	0.1315758083652728	93	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_109	8.978200411148412	6.6674108490046065	0.09495313020584277	0.17072127456003944	0	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_110	11.328684523930413	7.672855706988907	0.13465309641725443	0.12922590581304003	461	105	0.0	0.0	0.0	0.0	-1	7.168202048279404	accepted	Likely BOLD
ICA_111	12.470435661639199	31.264557696949073	0.5127409771562997	0.21209589783071328	1130	1509	0.49279682066567315	0.603597601598934	8.61686867844911	8.264680141558565e-16	1	n/a	rejected	Unlikely BOLD
ICA_112	39.58171544838311	7.342036433767091	0.18155226310916803	0.3599130599125533	7250	898	0.5232253031699879	0.11085972850678733	38.71653876391676	2.793375675592262e-293	1	26.4822599303571	accepted	Likely BOLD
ICA_113	8.87546498764263	6.221743877950774	0.4176197432483429	0.658846150929058	0	0	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_114	7.156686734550049	17.647217504784834	0.2005416891961068	0.2742127128940797	157	1896	0.0	0.03850325379609545	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_115	11.063782824898139	27.90928451066967	0.2587782181451593	0.15608618753917192	771	997	0.0	0.6638297872340425	8.925302801236102	1.196000157314608e-16	1	n/a	rejected	Unlikely BOLD
ICA_116	26.801113897899445	12.572184752536659	0.5150977770679233	0.7273720100150352	9326	2934	0.37320468030832366	0.08377682403433477	0.0	0.0	1	62.93756300436135	accepted	Likely BOLD
ICA_117	9.655740933565651	6.8113203988338835	0.09060782273154584	0.16278286020716665	87	0	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_118	9.98816378146462	6.943376778659698	0.08157366309593791	0.13147936390298162	0	0	0.0	0.0	0.0	0.0	-1	10.88099245920472	accepted	Low variance
