subj,ses,task,run,dir,n_echoes,shape,n_frames,has_noise,noise_ratio,tr,mode,noise_volume_last,n_trimmed,n_analytic,verdict,reason
sub-P5,ses-6,BOLDREST1,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0374,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST1NORDICME52mm' != task-BOLDREST1 (alerta para §5.2)
sub-P5,ses-6,BOLDREST1,run-2,PA,5,"(110, 110, 72, 513)",513.0,True,0.0374,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST1NORDICME52mm' != task-BOLDREST1 (alerta para §5.2)
sub-P5,ses-6,BOLDREST2,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0381,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST2NORDICME52mm' != task-BOLDREST2 (alerta para §5.2)
sub-P5,ses-6,BOLDREST2,run-2,PA,5,"(110, 110, 72, 513)",513.0,True,0.0381,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST2NORDICME52mm' != task-BOLDREST2 (alerta para §5.2)
sub-P5,ses-6,BOLDREST3,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.038,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST3NORDICME52mm' != task-BOLDREST3 (alerta para §5.2)
sub-P5,ses-6,BOLDREST3,run-2,PA,5,"(110, 110, 72, 513)",513.0,True,0.038,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST3NORDICME52mm' != task-BOLDREST3 (alerta para §5.2)
sub-P5,ses-6,BOLDREST4,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0382,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST4NORDICME52mm' != task-BOLDREST4 (alerta para §5.2)
sub-P5,ses-6,BOLDREST4,run-2,PA,5,"(110, 110, 72, 513)",513.0,True,0.0382,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST4NORDICME52mm' != task-BOLDREST4 (alerta para §5.2)
sub-P6,ses-5,BOLDREST1,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0341,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST1NORDICME52mm' != task-BOLDREST1 (alerta para §5.2)
sub-P6,ses-5,BOLDREST2,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0341,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST2NORDICME52mm' != task-BOLDREST2 (alerta para §5.2)
sub-P6,ses-5,BOLDREST3,run-1,PA,5,"(110, 110, 72, 245)",245.0,False,1.0001,1.761,complex,0.0,0.0,245.0,⊘ EXCLUDED,Q=245 < Q_USABLE_MIN=400 (insuficiente para FC estable tras censoring)
sub-P6,ses-5,BOLDREST4,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0347,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST4NORDICME52mm' != task-BOLDREST4 (alerta para §5.2)
sub-P6,ses-9,BOLDREST1,run-1,PA,5,"(110, 110, 72, 208)",208.0,False,1.0001,1.761,complex,0.0,0.0,208.0,⊘ EXCLUDED,Q=208 < Q_USABLE_MIN=400 (insuficiente para FC estable tras censoring)
sub-P6,ses-9,BOLDREST2,run-1,PA,5,"(110, 110, 72, 135)",135.0,False,1.0008,1.761,complex,0.0,0.0,135.0,⊘ EXCLUDED,Q=135 < Q_USABLE_MIN=400 (insuficiente para FC estable tras censoring)
sub-P6,ses-9,BOLDREST3,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0364,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST3NORDICME52mm' != task-BOLDREST3 (alerta para §5.2)
sub-P6,ses-9,BOLDREST4,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0358,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST4NORDICME52mm' != task-BOLDREST4 (alerta para §5.2)
sub-P7,ses-11,BOLDREST1,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.036,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST1NORDICME52mm' != task-BOLDREST1 (alerta para §5.2)
sub-P7,ses-11,BOLDREST2,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0364,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST2NORDICME52mm' != task-BOLDREST2 (alerta para §5.2)
sub-P7,ses-11,BOLDREST3,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0363,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST3NORDICME52mm' != task-BOLDREST3 (alerta para §5.2)
sub-P7,ses-7,BOLDREST1,run-1,PA,5,"(110, 110, 72, 516)",516.0,True,0.0362,1.761,complex,3.0,3.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST1NORDICME52mm' != task-BOLDREST1 (alerta para §5.2)
sub-P7,ses-7,BOLDREST2,run-1,PA,5,"(110, 110, 72, 516)",516.0,True,0.0362,1.761,complex,3.0,3.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST2NORDICME52mm' != task-BOLDREST2 (alerta para §5.2)
sub-P7,ses-7,BOLDREST3,run-1,PA,5,"(110, 110, 72, 516)",516.0,True,0.0375,1.761,complex,3.0,3.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST3NORDICME52mm' != task-BOLDREST3 (alerta para §5.2)
sub-P7,ses-7,BOLDREST4,run-1,PA,5,"(110, 110, 72, 516)",516.0,True,0.038,1.761,complex,3.0,3.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST4NORDICME52mm' != task-BOLDREST4 (alerta para §5.2)
sub-P7,ses-7,BOLDREST5,run-1,PA,5,"(110, 110, 72, 516)",516.0,True,0.0375,1.761,complex,3.0,3.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST5NORDICME52mm' != task-BOLDREST5 (alerta para §5.2)
sub-P7,ses-7,BOLDREST6,run-1,PA,5,"(110, 110, 72, 516)",516.0,True,0.0375,1.761,complex,3.0,3.0,513.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST6NORDICME52mm' != task-BOLDREST6 (alerta para §5.2)
