"pipeline","has_gsr","metric","mean_LSD","mean_PLCB","diff","p_value","p_wilcox","d_z","d_av","shapiro_p","method","p_FDR","sig_raw","sig_FDR","sign_dz","sign_primary","dz_primary","dir_match"
"AsIs",FALSE,"closeness",0.00252056068988374,0.00210375070447548,0.000416809985408263,0.74749551566512,0.798272981372542,0.0847834540945281,0.127378805101064,0.002743287092019,"parallel (t + Wilcoxon)",0.74749551566512,FALSE,FALSE,1,1,0.0847834540945281,TRUE
"AsIs",FALSE,"participation",0.390583189827969,0.352673138316201,0.0379100515117677,0.0850388439279786,0.09383863903411,0.478507250013054,0.579878118837875,0.767724343111154,"parallel (t + Wilcoxon)",0.122833885673747,FALSE,FALSE,1,1,0.478507250013054,TRUE
"AsIs",FALSE,"degree_entropy",5.76395213454225,5.66188547913414,0.102066655408104,0.0494025332106706,0.0500579654932533,0.555448430113144,0.688104533624945,0.635378340964031,"parallel (t + Wilcoxon)",0.120538318762689,TRUE,FALSE,1,1,0.555448430113144,TRUE
"AsIs+aCompCor",FALSE,"mean_strength",42.4425026138499,40.1442267735043,2.2982758403456,0.0130113207328323,0.0248678593178852,0.734232691843273,0.723142251631224,0.392429289752049,"parallel (t + Wilcoxon)",0.0494338266446171,TRUE,TRUE,1,-1,-0.301220138957871,FALSE
"AsIs+aCompCor",FALSE,"global_efficiency",0.274303145665559,0.266769444973407,0.00753370069215166,0.0390360280473501,0.0500579654932533,0.587838536203408,0.518142689095911,0.71099242195889,"parallel (t + Wilcoxon)",0.0845780607692584,TRUE,FALSE,1,-1,-0.526517506889763,FALSE
"AsIs+aCompCor",FALSE,"char_path_length",4.039311413272,4.12541462546868,-0.0861032121966841,0.068674927899357,0.064910217801352,-0.509218465788323,-0.447263005940088,0.334309688836562,"parallel (t + Wilcoxon)",0.127539151813092,FALSE,FALSE,-1,1,0.602927950035914,FALSE
"AsIs+aCompCor",FALSE,"density",0.110877245360004,0.108819724336966,0.00205752102303826,0.178948082548228,0.181883060369959,0.365331063689791,0.469007064231706,0.538702979308242,"parallel (t + Wilcoxon)",0.29079063414087,FALSE,FALSE,1,1,0.682402786852485,TRUE
"AsIs+aCompCor",FALSE,"clustering",0.476820927629777,0.468993192133268,0.00782773549650843,0.26252963528595,0.378674693023085,0.301433282954309,0.284931860429803,0.134498122300213,"parallel (t + Wilcoxon)",0.341288525871735,FALSE,FALSE,1,-1,-0.700667020815998,FALSE
"AsIs+aCompCor",FALSE,"modularity",0.48227458404082,0.503066088885394,-0.0207915048445739,0.0281838917134471,0.0331834311510942,-0.631918588930989,-0.816042381126622,0.397168647148172,"parallel (t + Wilcoxon)",0.0732781184549624,TRUE,FALSE,-1,-1,-0.150240236312424,TRUE
"AsIs+aCompCor",FALSE,"assortativity",0.394931014091884,0.268972468121768,0.125958545970116,0.00246641810440972,0.00826562227177156,0.950538788415319,1.32735951408468,0.319341188612458,"parallel (t + Wilcoxon)",0.0160317176786632,TRUE,TRUE,1,-1,-0.373703039593639,FALSE
"AsIs+aCompCor",FALSE,"small_worldness",1.73226554054209,1.7172147378544,0.0150508026876963,0.759957641581076,0.798272981372542,0.0804474203241288,0.0872432078267576,0.604572454682081,"parallel (t + Wilcoxon)",0.759957641581076,FALSE,FALSE,1,-1,-0.703529778952817,FALSE
"AsIs+aCompCor",FALSE,"eigenvector",0.637374429710397,0.679182728830917,-0.0418082991205206,0.0152104081983437,0.0134873785975619,-0.713749986498429,-0.850124372495081,0.373901689501344,"parallel (t + Wilcoxon)",0.0494338266446171,TRUE,TRUE,-1,1,0.498214989272781,FALSE
"AsIs+aCompCor",FALSE,"betweenness",174.08908045977,172.338793103448,1.75028735632183,0.418871398663127,0.798272981372542,0.21505975913069,0.272294672797783,0.41006380890263,"parallel (t + Wilcoxon)",0.453777348551721,FALSE,FALSE,1,-1,-0.498923936085581,FALSE
"AsIs+aCompCor",FALSE,"closeness",0.000896156731404545,0.000889731623919386,6.42510748515876e-06,0.384085538012184,0.513655642510047,0.232004938931159,0.177465298155535,0.322902151883189,"parallel (t + Wilcoxon)",0.453777348551721,FALSE,FALSE,1,1,0.0847834540945281,TRUE
"AsIs+aCompCor",FALSE,"participation",0.41080920740384,0.434236490709191,-0.0234272833053512,0.255117946319686,0.29338289215179,-0.306388217933583,-0.409943004322282,0.984927724003363,"parallel (t + Wilcoxon)",0.341288525871735,FALSE,FALSE,-1,1,0.478507250013054,FALSE
"AsIs+aCompCor",FALSE,"degree_entropy",5.28849449384033,5.01651928335858,0.271975210481756,0.000144444280060707,0.00109162812494216,1.33266565630138,1.31487615854746,0.981043438446886,"parallel (t + Wilcoxon)",0.00187777564078919,TRUE,TRUE,1,1,0.555448430113144,TRUE
"AsIs+GSR",TRUE,"mean_strength",45.6650476280075,49.2153050545145,-3.55025742650694,0.0184213124634344,0.0157854879847244,-0.688517626440197,-0.808267658628543,0.958197143808271,"parallel (t + Wilcoxon)",0.0478954124049294,TRUE,TRUE,-1,-1,-0.301220138957871,TRUE
"AsIs+GSR",TRUE,"global_efficiency",0.285586265655854,0.305273669388929,-0.0196874037330758,0.00377866134518059,0.00826562227177156,-0.895045254781334,-1.10259869398785,0.972667394319714,"parallel (t + Wilcoxon)",0.0236147490650906,TRUE,TRUE,-1,-1,-0.526517506889763,TRUE
"AsIs+GSR",TRUE,"char_path_length",3.90667915252794,3.67271159962124,0.233967552906698,0.00183909550248585,0.00493247224052953,0.988870466784177,1.19679694376679,0.937525533149351,"parallel (t + Wilcoxon)",0.0236147490650906,TRUE,TRUE,1,1,0.602927950035914,TRUE
"AsIs+GSR",TRUE,"density",0.0956834353386078,0.0958327113499527,-0.000149276011344975,0.751179206428835,0.977344646181807,-0.0834991709766311,-0.0921692308177976,0.41093820769868,"parallel (t + Wilcoxon)",0.751179206428835,FALSE,FALSE,-1,1,0.682402786852485,FALSE
"AsIs+GSR",TRUE,"clustering",0.509575914996203,0.542832636658058,-0.033256721661855,0.00919978395147495,0.0157854879847244,-0.779483064215271,-1.16133610491619,0.352083518581506,"parallel (t + Wilcoxon)",0.0298992978422936,TRUE,TRUE,-1,-1,-0.700667020815998,TRUE
"AsIs+GSR",TRUE,"modularity",0.532135493715742,0.548129288755936,-0.0159937950401942,0.136341937954443,0.132298661876269,-0.408052761147877,-0.619258873282593,0.250942322289665,"parallel (t + Wilcoxon)",0.269600994137515,FALSE,FALSE,-1,-1,-0.150240236312424,TRUE
"AsIs+GSR",TRUE,"assortativity",0.434994930045577,0.452650149379126,-0.0176552193335498,0.655341184001867,0.711997145588538,-0.117754164989684,-0.15818878740266,0.448437340642926,"parallel (t + Wilcoxon)",0.709952949335356,FALSE,FALSE,-1,-1,-0.373703039593639,TRUE
"AsIs+GSR",TRUE,"small_worldness",2.09032896821931,2.42011090270652,-0.329781934487212,0.00544955747655937,0.0114900673429755,-0.847518466887471,-1.27282695289536,0.874810569403474,"parallel (t + Wilcoxon)",0.0236147490650906,TRUE,TRUE,-1,-1,-0.703529778952817,TRUE
"AsIs+GSR",TRUE,"eigenvector",0.587061893855724,0.592633231531295,-0.00557133767557161,0.608906679047596,0.711997145588538,-0.135131705127003,-0.145367024305075,0.6626844964941,"parallel (t + Wilcoxon)",0.709952949335356,FALSE,FALSE,-1,1,0.498214989272781,FALSE
"AsIs+GSR",TRUE,"betweenness",202.734482758621,208.277586206897,-5.54310344827586,0.220680486138707,0.244293641331777,-0.331000285200507,-0.45672061508845,0.900926266204573,"parallel (t + Wilcoxon)",0.358605789975399,FALSE,FALSE,-1,-1,-0.498923936085581,TRUE
"AsIs+GSR",TRUE,"closeness",0.000837913785565091,0.00170707450626601,-0.000869160720700918,0.145169766074046,0.000891901377059125,-0.39835639154205,-0.563224480616666,1.24945081570066e-06,"parallel (t + Wilcoxon)",0.269600994137515,FALSE,FALSE,-1,1,0.0847834540945281,FALSE
"AsIs+GSR",TRUE,"participation",0.339736319013069,0.326868559041602,0.0128677599714668,0.587279116543224,0.670128703919811,0.143445461942539,0.204876561810381,0.746831538213458,"parallel (t + Wilcoxon)",0.709952949335356,FALSE,FALSE,1,1,0.478507250013054,TRUE
"AsIs+GSR",TRUE,"degree_entropy",5.21332495996012,5.17259330594142,0.0407316540186991,0.44813541942519,0.320255384944945,0.201504986872459,0.225470233057966,0.93184247490761,"parallel (t + Wilcoxon)",0.647306716947497,FALSE,FALSE,1,1,0.555448430113144,TRUE
