"seed","roi","roi_label","network","n","mean_LSD","mean_PLCB","mean_delta","d_z","d_av","p_value","p_wilcox","p_FDR","p_wilcox_FDR","significant","sig_wilcox"
"HIP",61,"LH_Cont_Par_1","Cont",15,-0.00729623357834078,-0.100091553423913,0.0927953198455718,0.443503622108571,0.630339624187941,0.10788247819371,0.09383863903411,0.411196450258314,0.403683201882586,FALSE,FALSE
"HIP",62,"LH_Cont_Par_2","Cont",15,-0.0392550867263995,0.00483881468447007,-0.0440939014108696,-0.230941148275282,-0.324421521065086,0.386210137613385,0.55093480568048,0.620112051942618,0.717789346829425,FALSE,FALSE
"HIP",63,"LH_Cont_Par_3","Cont",15,-0.0141606067432132,0.0553094907480431,-0.0694700974912563,-0.443051994711513,-0.540133828853884,0.10820959217324,0.132298661876269,0.411196450258314,0.440098721572255,FALSE,FALSE
"HIP",64,"LH_Cont_Temp_1","Cont",15,0.0185059911888311,0.0334471791811568,-0.0149411879923257,-0.0809534655568081,-0.113294515323376,0.758499575461654,0.670128703919811,0.860387578135608,0.799944212008989,FALSE,FALSE
"HIP",65,"LH_Cont_OFC_1","Cont",15,0.0204681648708295,0.0633546579248151,-0.0428864930539856,-0.202316271111105,-0.259788883285487,0.446348293761011,0.754752501290184,0.677846748487192,0.864741559267146,FALSE,FALSE
"HIP",66,"LH_Cont_PFCl_1","Cont",15,-0.0922817209493946,-0.0773383354476925,-0.0149433855017021,-0.0740291044693097,-0.102240340775217,0.778531154093882,0.58949792671724,0.877447407867459,0.742571973986358,FALSE,FALSE
"HIP",67,"LH_Cont_PFCl_2","Cont",15,-0.0450872582389579,-0.0744438940212431,0.0293566357822852,0.13847377893945,0.1802241735413,0.600165212814284,0.378674693023085,0.751855321547565,0.608012887389179,FALSE,FALSE
"HIP",68,"LH_Cont_PFCl_3","Cont",15,-0.0565531958402547,-0.0239067866206159,-0.0326464092196388,-0.160772751498669,-0.202834243564419,0.543511148483664,0.477733720891573,0.709795298875473,0.676542163747072,FALSE,FALSE
"HIP",69,"LH_Cont_PFCl_4","Cont",15,-0.0459319209686033,-0.00714526971299103,-0.0387866512556123,-0.169808217314008,-0.239732880025623,0.521421030404174,0.58949792671724,0.699317617247951,0.742571973986358,FALSE,FALSE
"HIP",70,"LH_Cont_PFCl_5","Cont",15,-0.0514817857447234,-0.0588227746074519,0.0073409888627285,0.0394780220516741,0.0508696805119527,0.880660751522861,0.977344646181807,0.921058033702808,0.985993713847133,FALSE,FALSE
"HIP",71,"LH_Cont_pCun_1","Cont",15,0.01163228786128,0.107203497406597,-0.0955712095453166,-0.502790879272737,-0.645878597879394,0.0718422872962336,0.118312716164607,0.327600830070825,0.415004604392777,FALSE,FALSE
"HIP",72,"LH_Cont_Cing_1","Cont",15,0.140249749095175,0.185466369201672,-0.045216620106497,-0.23487430395859,-0.321526089123117,0.378394513030138,0.268066760405714,0.619179490734903,0.522386507457289,FALSE,FALSE
"HIP",73,"LH_Cont_Cing_2","Cont",15,0.170788399834183,0.209524476450891,-0.0387360766167076,-0.193420270079453,-0.250501415853572,0.466189963100372,0.477733720891573,0.685750397334741,0.676542163747072,FALSE,FALSE
"HIP",74,"LH_Default_Temp_1","Default",15,0.170667446991332,0.211050234602806,-0.0403827876114739,-0.205331321876272,-0.290796498403006,0.439746203167758,0.443231075591052,0.672900230350663,0.651978614417806,FALSE,FALSE
"HIP",75,"LH_Default_Temp_2","Default",15,0.0474833479417613,0.0667224806928986,-0.0192391327511373,-0.0861626054935054,-0.12755429542058,0.743546834959475,0.798272981372542,0.856205446316972,0.883525435693881,FALSE,FALSE
"HIP",76,"LH_Default_Temp_3","Default",15,0.196407024465166,0.29003665150555,-0.0936296270403844,-0.483741726045733,-0.610706526644102,0.0820225299141782,0.064910217801352,0.34631734852653,0.31488360975975,FALSE,FALSE
"HIP",77,"LH_Default_Temp_4","Default",15,0.0692286223553037,0.0355123032258915,0.0337163191294122,0.197698245951509,0.245522545482517,0.456581120547847,0.378674693023085,0.680395395326204,0.608012887389179,FALSE,FALSE
"HIP",78,"LH_Default_Temp_5","Default",15,0.0321687842342137,0.0514973603864143,-0.0193285761522005,-0.151574062688612,-0.137297318275657,0.566521548793831,0.670128703919811,0.725656815308952,0.799944212008989,FALSE,FALSE
"HIP",79,"LH_Default_Par_1","Default",15,0.0974048602975494,0.0677848461607966,0.0296200141367527,0.172508502667934,0.216637038663019,0.514920017092614,0.181971177723054,0.697993000742111,0.455927785943476,FALSE,FALSE
