"seed","roi","roi_label","network","n","mean_LSD","mean_PLCB","mean_delta","d_z","d_av","p_value","p_wilcox","p_FDR","p_wilcox_FDR","significant","sig_wilcox"
"NAc",204,"Subcortex_mAMY-rh","Subcortex",15,0.100524270676323,0.181487050008551,-0.0809627793322285,-0.706030483894654,-0.648035221609815,0.0161300173794871,0.0214343194310806,0.354284439050041,0.415837075748891,FALSE,FALSE
"NAc",153,"RH_SalVentAttn_FrOperIns_2","SalVentAttn",15,0.0953391128178712,0.209594369133512,-0.114255256315641,-0.695208071999032,-0.844684798016369,0.017510914603289,0.0248678593178852,0.354284439050041,0.415837075748891,FALSE,FALSE
"NAc",77,"LH_Default_Temp_4","Default",15,0.109681421086647,0.00536381489641958,0.104317606190227,0.695137763754968,0.884118338882711,0.0175202507513896,0.0287678605974676,0.354284439050041,0.415837075748891,FALSE,FALSE
"PUT",79,"LH_Default_Par_1","Default",15,0.21382880914216,0.0158731492992787,0.197955659842881,1.3692406499736,1.19103504252548,0.000111551024014734,0.00133204736077707,0.0136884471311724,0.15271952594645,TRUE,FALSE
"PUT",169,"RH_Cont_PFCv_1","Cont",15,0.372461994431031,0.191129600557051,0.181332393873981,1.35878123056398,1.27702167065745,0.000120074097641863,0.00196552940924164,0.0136884471311724,0.15271952594645,TRUE,FALSE
"PUT",207,"Subcortex_THA-VA-rh","Subcortex",15,0.405328106254836,0.232307911448001,0.173020194806835,1.03408017122502,1.41702958151097,0.00130327301412797,0.00344452408391648,0.0822097842595474,0.15271952594645,FALSE,FALSE
"PUT",176,"RH_Cont_PFCl_7","Cont",15,0.205553667612921,0.069685467163049,0.135868200449872,0.977378672594033,1.02473097545747,0.00200799195291146,0.00587612541415952,0.0822097842595474,0.15271952594645,FALSE,FALSE
"PUT",85,"LH_Default_PFC_3","Default",15,0.226148430581136,0.0876515623281715,0.138496868252965,0.973977170157619,1.05424479448064,0.00206094317664806,0.00587612541415952,0.0822097842595474,0.15271952594645,FALSE,FALSE
"PUT",188,"RH_Default_Temp_4","Default",15,0.217264403650964,0.0435823936437192,0.173682010007245,0.959605006267966,1.33862537264259,0.00230077218802812,0.00286559480782183,0.0822097842595474,0.15271952594645,FALSE,FALSE
"PUT",206,"Subcortex_THA-VP-rh","Subcortex",15,0.383333764707397,0.179987053755797,0.203346710951601,0.936265159442186,1.35624108205336,0.00275201927629478,0.0069795438131406,0.0822097842595474,0.15271952594645,FALSE,FALSE
"PUT",110,"RH_Vis_10","Vis",15,0.291728064897146,0.0987269857967893,0.193001079100357,0.930142836210423,1.21314550430209,0.00288455383366833,0.0114900673429755,0.0822097842595474,0.15271952594645,FALSE,FALSE
"PUT",208,"Subcortex_THA-DA-rh","Subcortex",15,0.384942544693536,0.214429873316368,0.170512671377168,0.900039195399688,1.16726190854759,0.00363613518401423,0.0114900673429755,0.0883459036234388,0.15271952594645,FALSE,FALSE
"PUT",168,"RH_Cont_Temp_1","Cont",15,0.151898357334448,0.0392738287656332,0.112624528568815,0.864315339657311,1.01987638414245,0.00478792171438944,0.0134873785975619,0.0883459036234388,0.15271952594645,FALSE,FALSE
"THA",190,"RH_Default_PFCv_1","Default",15,0.237934749520495,0.0539245361734414,0.184010213347053,1.54599379651336,1.60591508166815,3.32489944894686e-05,0.00109162812494216,0.00744777476564096,0.185149938887683,TRUE,FALSE
"THA",87,"LH_Default_PFC_5","Default",15,0.198912656709364,0.0436998970397488,0.155212759669615,1.01532516241761,1.1279398383174,0.0015030390956808,0.00493247224052953,0.123414600612455,0.185149938887683,FALSE,FALSE
"THA",169,"RH_Cont_PFCv_1","Cont",15,0.247526028550847,0.119649976211801,0.127876052339046,1.0028554703383,1.13507167335231,0.00165287411534538,0.00493247224052953,0.123414600612455,0.185149938887683,FALSE,FALSE
"THA",214,"Subcortex_pPUT-rh","Subcortex",15,0.367890091445884,0.217855579365428,0.150034512080456,0.959291200093897,1.10595049148945,0.00230631299228438,0.00826562227177156,0.129153527567925,0.185149938887683,FALSE,FALSE
"THA",229,"Subcortex_aPUT-lh","Subcortex",15,0.373853928771635,0.21731415110935,0.156539777662285,0.869751213657181,1.28476641468421,0.00459151355268351,0.00826562227177156,0.129835707357102,0.185149938887683,FALSE,FALSE
"THA",188,"RH_Default_Temp_4","Default",15,0.156203455837288,0.019616594190022,0.136586861647266,0.856359440016178,1.06632576135261,0.00509064747466519,0.00826562227177156,0.129835707357102,0.185149938887683,FALSE,FALSE
"THA",48,"LH_SalVentAttn_FrOperIns_2","SalVentAttn",15,0.305279633139632,0.15844321655036,0.146836416589272,0.85230313604561,1.27754362299855,0.00525228684457687,0.00493247224052953,0.129835707357102,0.185149938887683,FALSE,FALSE
"THA",194,"RH_Default_PFCdPFCm_4","Default",15,0.203577415602228,0.0814405478123818,0.122136867789847,0.838619776408694,0.939316405705502,0.00583633606175212,0.0134873785975619,0.129835707357102,0.188823300365866,FALSE,FALSE
"THA",92,"LH_Default_PFC_10","Default",15,0.238159803261113,0.120973085173978,0.117186718087136,0.835158245837793,0.922042125562755,0.00599408563257056,0.0134873785975619,0.129835707357102,0.188823300365866,FALSE,FALSE
"THA",232,"Subcortex_pCAU-lh","Subcortex",15,0.297025513885363,0.18209631204241,0.114929201842954,0.825557166313777,0.715362944293074,0.00645422206779765,0.00975977204371061,0.129835707357102,0.188823300365866,FALSE,FALSE
