"net1","net2","subject","condition","connectivity"
"DorsAttn","Vis","sub-P1","MTP",0.554301286705201
"DorsAttn","Vis","sub-P1","PSIL",0.596680083288042
"DorsAttn","Vis","sub-P3","MTP",0.757218607778198
"DorsAttn","Vis","sub-P3","PSIL",0.540473918542526
"DorsAttn","Vis","sub-P4","MTP",0.357132781167387
"DorsAttn","Vis","sub-P4","PSIL",0.872569007964784
"DorsAttn","Vis","sub-P5","MTP",0.256358486969491
"DorsAttn","Vis","sub-P5","PSIL",0.542211524150054
"DorsAttn","Vis","sub-P6","MTP",0.362037049081569
"DorsAttn","Vis","sub-P6","PSIL",0.465001539128007
"DorsAttn","Vis","sub-P7","MTP",0.530600622077086
"DorsAttn","Vis","sub-P7","PSIL",0.554424919775288
"Limbic","SalVentAttn","sub-P1","MTP",0.148488691035664
"Limbic","SalVentAttn","sub-P1","PSIL",0.359437657290836
"Limbic","SalVentAttn","sub-P3","MTP",0.174248344772679
"Limbic","SalVentAttn","sub-P3","PSIL",0.207590595399617
"Limbic","SalVentAttn","sub-P4","MTP",0.161662021983755
"Limbic","SalVentAttn","sub-P4","PSIL",0.496095613898067
"Limbic","SalVentAttn","sub-P5","MTP",0.139888191630297
"Limbic","SalVentAttn","sub-P5","PSIL",0.303160512444445
"Limbic","SalVentAttn","sub-P6","MTP",-0.00790295722053259
"Limbic","SalVentAttn","sub-P6","PSIL",0.177489744607481
"Limbic","SalVentAttn","sub-P7","MTP",0.228133056769729
"Limbic","SalVentAttn","sub-P7","PSIL",0.400058820652344
"Limbic","SomMot","sub-P1","MTP",0.278813488301004
"Limbic","SomMot","sub-P1","PSIL",0.368024749862653
"Limbic","SomMot","sub-P3","MTP",0.285595937677107
"Limbic","SomMot","sub-P3","PSIL",0.295289739537846
"Limbic","SomMot","sub-P4","MTP",0.18484156386013
"Limbic","SomMot","sub-P4","PSIL",0.473476433836795
"Limbic","SomMot","sub-P5","MTP",0.114379786849477
"Limbic","SomMot","sub-P5","PSIL",0.282898003518812
"Limbic","SomMot","sub-P6","MTP",0.0839965301363595
"Limbic","SomMot","sub-P6","PSIL",0.161182242529903
"Limbic","SomMot","sub-P7","MTP",0.239270041871881
"Limbic","SomMot","sub-P7","PSIL",0.391971011208853
"Limbic","Subcortex","sub-P1","MTP",0.317835910523205
"Limbic","Subcortex","sub-P1","PSIL",0.362212231272767
"Limbic","Subcortex","sub-P3","MTP",0.213359351261042
"Limbic","Subcortex","sub-P3","PSIL",0.198352146666586
"Limbic","Subcortex","sub-P4","MTP",0.131667085559706
"Limbic","Subcortex","sub-P4","PSIL",0.296284313710797
"Limbic","Subcortex","sub-P5","MTP",0.12402430088588
"Limbic","Subcortex","sub-P5","PSIL",0.294022372120316
"Limbic","Subcortex","sub-P6","MTP",0.135457102364351
"Limbic","Subcortex","sub-P6","PSIL",0.181583494115323
"Limbic","Subcortex","sub-P7","MTP",0.136233759726035
"Limbic","Subcortex","sub-P7","PSIL",0.268139419835961
"Limbic","Vis","sub-P1","MTP",0.294161402009826
"Limbic","Vis","sub-P1","PSIL",0.29974778415528
"Limbic","Vis","sub-P3","MTP",0.212736099476998
"Limbic","Vis","sub-P3","PSIL",0.215140331632969
"Limbic","Vis","sub-P4","MTP",0.13446243290338
"Limbic","Vis","sub-P4","PSIL",0.435045186581735
"Limbic","Vis","sub-P5","MTP",0.076013550321821
"Limbic","Vis","sub-P5","PSIL",0.257458951645991
"Limbic","Vis","sub-P6","MTP",-0.0279720345779891
"Limbic","Vis","sub-P6","PSIL",0.130620855637958
"Limbic","Vis","sub-P7","MTP",0.177172548140994
"Limbic","Vis","sub-P7","PSIL",0.262231893883606
"SalVentAttn","SomMot","sub-P1","MTP",0.603989116334226
"SalVentAttn","SomMot","sub-P1","PSIL",0.923368835382227
"SalVentAttn","SomMot","sub-P3","MTP",0.640451263273348
"SalVentAttn","SomMot","sub-P3","PSIL",0.628710425548384
"SalVentAttn","SomMot","sub-P4","MTP",0.517882521129457
"SalVentAttn","SomMot","sub-P4","PSIL",0.971753035638984
"SalVentAttn","SomMot","sub-P5","MTP",0.446647279422351
"SalVentAttn","SomMot","sub-P5","PSIL",0.706469267843163
"SalVentAttn","SomMot","sub-P6","MTP",0.410227808722532
"SalVentAttn","SomMot","sub-P6","PSIL",0.725503081405491
"SalVentAttn","SomMot","sub-P7","MTP",0.774851242955703
"SalVentAttn","SomMot","sub-P7","PSIL",0.873133951134039
"SalVentAttn","Subcortex","sub-P1","MTP",0.195038844049713
"SalVentAttn","Subcortex","sub-P1","PSIL",0.459226775494369
"SalVentAttn","Subcortex","sub-P3","MTP",0.333123722416557
"SalVentAttn","Subcortex","sub-P3","PSIL",0.144490577609247
"SalVentAttn","Subcortex","sub-P4","MTP",0.171428041377124
"SalVentAttn","Subcortex","sub-P4","PSIL",0.464061434043838
"SalVentAttn","Subcortex","sub-P5","MTP",0.205369045706987
"SalVentAttn","Subcortex","sub-P5","PSIL",0.441128594589231
"SalVentAttn","Subcortex","sub-P6","MTP",0.134265225319721
"SalVentAttn","Subcortex","sub-P6","PSIL",0.332942284786499
"SalVentAttn","Subcortex","sub-P7","MTP",0.243862845062425
"SalVentAttn","Subcortex","sub-P7","PSIL",0.417774962808647
"SalVentAttn","Vis","sub-P1","MTP",0.490408113109961
"SalVentAttn","Vis","sub-P1","PSIL",0.46268047637327
"SalVentAttn","Vis","sub-P3","MTP",0.556980727839549
"SalVentAttn","Vis","sub-P3","PSIL",0.335921740968421
"SalVentAttn","Vis","sub-P4","MTP",0.34942564780636
"SalVentAttn","Vis","sub-P4","PSIL",0.789806890457138
"SalVentAttn","Vis","sub-P5","MTP",0.110824324024423
"SalVentAttn","Vis","sub-P5","PSIL",0.488230149801077
"SalVentAttn","Vis","sub-P6","MTP",0.22690911488751
"SalVentAttn","Vis","sub-P6","PSIL",0.376331063701041
"SalVentAttn","Vis","sub-P7","MTP",0.409107324134828
"SalVentAttn","Vis","sub-P7","PSIL",0.458981711249078
"SomMot","Subcortex","sub-P1","MTP",0.364441119665478
"SomMot","Subcortex","sub-P1","PSIL",0.480777485737631
"SomMot","Subcortex","sub-P3","MTP",0.366803923375595
"SomMot","Subcortex","sub-P3","PSIL",0.259649482883036
"SomMot","Subcortex","sub-P4","MTP",0.184726699334236
"SomMot","Subcortex","sub-P4","PSIL",0.450100509502404
"SomMot","Subcortex","sub-P5","MTP",0.204503511710224
"SomMot","Subcortex","sub-P5","PSIL",0.422745750137276
"SomMot","Subcortex","sub-P6","MTP",0.175268357492214
"SomMot","Subcortex","sub-P6","PSIL",0.298640003395919
"SomMot","Subcortex","sub-P7","MTP",0.23495358570757
"SomMot","Subcortex","sub-P7","PSIL",0.412431884300209
"SomMot","Vis","sub-P1","MTP",0.658880510109277
"SomMot","Vis","sub-P1","PSIL",0.472225925444377
"SomMot","Vis","sub-P3","MTP",0.552988858276052
"SomMot","Vis","sub-P3","PSIL",0.42192212212932
"SomMot","Vis","sub-P4","MTP",0.396993573687642
"SomMot","Vis","sub-P4","PSIL",0.7928870044798
"SomMot","Vis","sub-P5","MTP",0.128793591568532
"SomMot","Vis","sub-P5","PSIL",0.507376132331638
"SomMot","Vis","sub-P6","MTP",0.189689294938709
"SomMot","Vis","sub-P6","PSIL",0.337317597777753
"SomMot","Vis","sub-P7","MTP",0.490923208787329
"SomMot","Vis","sub-P7","PSIL",0.465026654791826
"Subcortex","Vis","sub-P1","MTP",0.349994405869585
"Subcortex","Vis","sub-P1","PSIL",0.344916208543113
"Subcortex","Vis","sub-P3","MTP",0.349080443991612
"Subcortex","Vis","sub-P3","PSIL",0.255479722672596
"Subcortex","Vis","sub-P4","MTP",0.134944294949908
"Subcortex","Vis","sub-P4","PSIL",0.395358156700283
"Subcortex","Vis","sub-P5","MTP",0.136942348016677
"Subcortex","Vis","sub-P5","PSIL",0.350078581982243
"Subcortex","Vis","sub-P6","MTP",0.0617763283987896
"Subcortex","Vis","sub-P6","PSIL",0.216994121215478
"Subcortex","Vis","sub-P7","MTP",0.203127925347926
"Subcortex","Vis","sub-P7","PSIL",0.284775563163298
