"edge_id","var_LSD","var_PLCB","diff"
2096,0.0610290382300239,0.0420369948556988,0.0189920433743252
2097,0.0422970104473387,0.102201799225485,-0.0599047887781467
2321,0.0553312874173976,0.041073063117771,0.0142582242996266
2322,0.0503560622791206,0.0630352072004262,-0.0126791449213056
2323,0.0413357140392241,0.0390771359553756,0.00225857808384849
2324,0.0525047122949952,0.0376476845019957,0.0148570277929995
2325,0.0564281184260003,0.130050046761228,-0.0736219283352279
2326,0.0252611334275576,0.0478239291951145,-0.0225627957675568
2327,0.0588252753686572,0.0967502839475609,-0.0379250085789037
2328,0.0371927746389552,0.0701059623462225,-0.0329131877072673
2329,0.0524641532221257,0.101828021267495,-0.0493638680453695
2330,0.0898730741570719,0.04643159031845,0.0434414838386218
2553,0.0281501825961942,0.0183060715428458,0.00984411105334842
2554,0.022634891651466,0.0509773669162688,-0.0283424752648027
2555,0.0343667467160455,0.0291489250238287,0.0052178216922168
2556,0.0294220789102782,0.0428431083655079,-0.0134210294552297
2557,0.0331909648426614,0.031765284655518,0.00142568018714347
2558,0.0461949976458849,0.0312749278500615,0.0149200697958235
2559,0.0359090090831849,0.0436454819015719,-0.0077364728183871
2560,0.0751633315541799,0.069494415242551,0.00566891631162895
2561,0.0452358414872291,0.0347964546380601,0.010439386849169
2562,0.048425851046799,0.0554794672272012,-0.00705361618040216
2563,0.0629586083462022,0.0561766244739284,0.00678198387227389
2785,0.0392181478725433,0.0568576171126852,-0.0176394692401419
2786,0.0594806620828515,0.0497907279020523,0.00968993418079917
2787,0.0462062869605602,0.0349370728285194,0.0112692141320409
2788,0.0401128288232989,0.0408325112519983,-0.000719682428699374
2789,0.0371930539634968,0.113120589620926,-0.0759275356574291
2790,0.0186129314170004,0.0391602970783586,-0.0205473656613582
2791,0.0520404589055154,0.10936867597088,-0.0573282170653641
2792,0.0521665507578066,0.0672661553751244,-0.0150996046173178
2793,0.0542078859282519,0.0781984223287483,-0.0239905364004964
2794,0.0382997657540954,0.0525440509211906,-0.0142442851670952
2795,0.0621212499147735,0.0923158552533514,-0.0301946053385779
2796,0.0141929636117771,0.0598402439593136,-0.0456472803475365
3017,0.0745304587734752,0.0712161934540453,0.00331426531942998
3018,0.0457458323113341,0.0573204626757304,-0.0115746303643963
3019,0.0400756014598297,0.0411876870465874,-0.00111208558675772
3020,0.093019332581825,0.0660417053403664,0.0269776272414586
3021,0.0629362563900135,0.106897353149091,-0.0439610967590779
3022,0.0354167994149611,0.0332191580950911,0.00219764131986998
3023,0.0568365663665726,0.0775600937300435,-0.0207235273634709
3024,0.0389009370348484,0.0722352319814775,-0.0333342949466291
3025,0.0507241826437288,0.0655282839079687,-0.0148041012642399
3026,0.106545264299605,0.0600792967209199,0.0464659675786854
3027,0.0432888140298266,0.0516924734015266,-0.00840365937169998
3028,0.0578656010893625,0.0420641649496101,0.0158014361397524
3029,0.0909749585079843,0.074697060705561,0.0162778978024233
3249,0.0242029665550329,0.0259229109077233,-0.00171994435269044
3250,0.0220426834486065,0.0193303138007125,0.00271236964789398
3251,0.0102080409911565,0.0316694855642285,-0.021461444573072
3252,0.0355754015436057,0.0266688178839742,0.00890658365963156
3253,0.0315987379162639,0.0338414612469086,-0.00224272333064465
3254,0.0261037793060993,0.0252013100542965,0.000902469251802811
3255,0.0475246223153726,0.0551886830075386,-0.00766406069216602
3256,0.0164732086116732,0.0450611195856214,-0.0285879109739481
3257,0.0370296425701164,0.0105498505460151,0.0264797920241013
3258,0.0147773488116107,0.0581639084185697,-0.043386559606959
3259,0.0254933699207508,0.00857356738020069,0.0169198025405501
3260,0.0368969155274464,0.0436308519206987,-0.0067339363932523
3261,0.0400652119945507,0.0189111544953041,0.0211540574992465
3262,0.0382411096246165,0.0290708766653172,0.00917023295929937
3481,0.0334720730149448,0.0411121289404517,-0.00764005592550692
3482,0.0348809748044929,0.0388871330990563,-0.00400615829456333
3483,0.0261525201334265,0.0161880694225737,0.0099644507108528
3484,0.0244912518309715,0.0360627218127609,-0.0115714699817894
3485,0.0304093132363298,0.0543883107252339,-0.0239789974889041
3486,0.0223206958482672,0.0521220536716716,-0.0298013578234044
3487,0.0356310605541273,0.059266485493244,-0.0236354249391167
3488,0.0279334759021088,0.0434190692007537,-0.015485593298645
3489,0.0312642024618932,0.0238529715069214,0.00741123095497179
3490,0.0255313919658319,0.0499180706555748,-0.0243866786897429
3491,0.0357447031905564,0.0295705454229822,0.0061741577675743
3492,0.0416454813583867,0.0343993315104549,0.00724614984793182
3493,0.0233021965828305,0.0431233343371431,-0.0198211377543126
3494,0.0324071169985621,0.0335198715934123,-0.00111275459485023
3495,0.0222116575577621,0.0444201228619446,-0.0222084653041825
3713,0.0308549458396429,0.0478850883474904,-0.0170301425078475
3714,0.0347527425581556,0.0298756149952421,0.00487712756291356
3715,0.0179024210787115,0.0196738272989012,-0.00177140622018967
3716,0.0303253503895281,0.0444004958227826,-0.0140751454332545
3717,0.0262804336742159,0.037850428036469,-0.0115699943622531
3718,0.0419895954090762,0.0662309234679943,-0.024241328058918
3719,0.0397009083690687,0.0352945281052136,0.00440638026385507
3720,0.0384622933201749,0.0304608005201481,0.00800149280002672
3721,0.0533321992363025,0.0281111026095132,0.0252210966267892
3722,0.0239648781701838,0.0420541069726075,-0.0180892288024237
3723,0.03458647748594,0.0280539305908286,0.00653254689511138
3724,0.0648625218737574,0.0353457038191859,0.0295168180545715
3725,0.0187611093802992,0.0412262531223199,-0.0224651437420207
3726,0.0273910658012881,0.0431293540175924,-0.0157382882163043
3727,0.0286497123986529,0.0306783726187115,-0.00202866022005862
3728,0.0411950415994525,0.0405750726824527,0.000619968916999739
3945,0.038274184764739,0.0279737146568151,0.0103004701079239
3946,0.0435751395795483,0.0337133696413652,0.00986176993818315
3947,0.0189780356020659,0.00964364122162559,0.00933439438044028
3948,0.0331015932512698,0.056855886294644,-0.0237542930433742
3949,0.0336558931985827,0.0305610437841272,0.00309484941445546
3950,0.0293541083596657,0.044441137682994,-0.0150870293233283
3951,0.047107395739173,0.0555121669440634,-0.00840477120489037
3952,0.0390648993949061,0.0177545660465931,0.0213103333483129
3953,0.0345459872532333,0.0122990449721704,0.0222469422810629
3954,0.0388977893851334,0.0580920176464472,-0.0191942282613138
3955,0.0329807829334601,0.0155498365796314,0.0174309463538287
3956,0.0439074064445978,0.0461981757815696,-0.00229076933697182
3957,0.0322733719910325,0.055169086684891,-0.0228957146938585
3958,0.0479090170485481,0.0342485352398924,0.0136604818086557
3959,0.0306460642308884,0.023810982724595,0.00683508150629344
3960,0.0330225137751456,0.0402860277668148,-0.00726351399166918
3961,0.045113788484177,0.0551350352506855,-0.0100212467665085
4177,0.0306289059075058,0.0645853254237097,-0.0339564195162039
4178,0.0395687204322801,0.0300431529387857,0.00952556749349447
4179,0.0386775690855804,0.0267111570518186,0.0119664120337618
4180,0.0289614930913409,0.0580682082110862,-0.0291067151197453
4181,0.0234201351966585,0.0448761763592697,-0.0214560411626113
4182,0.0196768955913186,0.072384937024411,-0.0527080414330925
4183,0.0460170000820798,0.041261660895438,0.00475533918664184
4184,0.0248069237040936,0.0344254840439713,-0.00961856033987767
4185,0.042720418964512,0.0196212874714864,0.0230991314930256
4186,0.0317277756591927,0.0584897379005795,-0.0267619622413868
4187,0.036932537502643,0.0208867242275339,0.0160458132751091
4188,0.0422801283991457,0.047420646285169,-0.00514051788602334
4189,0.00817240125556143,0.0662985171056384,-0.058126115850077
4190,0.0271811120871103,0.0325711982455769,-0.00539008615846654
4191,0.0290170123879451,0.0240827891603782,0.00493422322756686
4192,0.0370190158110732,0.0716638213049055,-0.0346448054938323
4193,0.0448982327004324,0.0487702616321919,-0.00387202893175952
4194,0.0328189893185717,0.0351615415487997,-0.00234255223022796
4409,0.0510423939541617,0.0409916280942264,0.0100507658599353
4410,0.0376570137968381,0.0609207549927753,-0.0232637411959372
4411,0.027519160735601,0.0263370028534168,0.00118215788218417
4412,0.0355466843717422,0.0916162432433767,-0.0560695588716345
4413,0.0300559172435474,0.0428657663868123,-0.0128098491432648
4414,0.0344874982834373,0.0342868311916755,0.000200667091761822
4415,0.0347133986728997,0.0452422538613827,-0.010528855188483
4416,0.0665642885234315,0.0403327753712165,0.026231513152215
4417,0.0402376993979343,0.0284706259873002,0.0117670734106341
4418,0.0332709677075231,0.0453898785917121,-0.012118910884189
4419,0.0481101064650995,0.0606507756541592,-0.0125406691890597
4420,0.0451348889721483,0.0390331873903218,0.00610170158182646
4421,0.0316753997222486,0.0925397522778518,-0.0608643525556032
4422,0.0711126248348795,0.0817289087946875,-0.010616283959808
4423,0.0350516018708945,0.0248142661150232,0.0102373357558713
4424,0.0468277864263827,0.0330974491386423,0.0137303372877405
4425,0.0263202461432236,0.0377116418880403,-0.0113913957448166
4426,0.0460576842392517,0.0568428209489342,-0.0107851367096825
4427,0.0444584348171254,0.0311651591597656,0.0132932756573598
4641,0.0400800363160253,0.0364011219507262,0.00367891436529912
4642,0.0421340164801817,0.0364958110114751,0.00563820546870667
4643,0.0236967015246054,0.0101935470172944,0.0135031545073111
4644,0.0247163867255449,0.0702033698229684,-0.0454869830974235
4645,0.0255883370784374,0.0317261700711752,-0.00613783299273787
4646,0.0366885918401291,0.0366560646349897,3.25272051394584e-05
4647,0.0394366795982184,0.0459874613241627,-0.0065507817259443
4648,0.0264666157480533,0.0393651950331219,-0.0128985792850686
4649,0.038612239324465,0.0211246157153686,0.0174876236090964
4650,0.0489414235274818,0.0508046028718654,-0.00186317934438358
4651,0.0273762046084169,0.0243022141486312,0.00307399045978571
4652,0.0481539403419727,0.0374844698280477,0.010669470513925
