subj,ses,task,run,integrity_ok,missing_files,missing_echoes,n_frames,fd_median,fd_max,fd_pct_over_0p5,dvars_median,dvars_max,dvars_pct_over_1p5,n_motion_outliers,n_motion_outliers_pct,n_nss_outliers,fd_gs_corr,n_acompcor_csf,n_acompcor_wm,n_acompcor_combined,n_tcompcor,t2star_median,t2star_mode_ms,t2star_pct_plausible,t2star_pct_failed,mask_volume_ml,mask_n_components,tsnr_echo_1,tsnr_echo_2,tsnr_echo_3,tsnr_echo_4,tsnr_echo_5,verdict
sub-P4,ses-6,BOLDREST1,run-1,True,,,510,0.1463010618648017,0.5025180291715456,0.19646365422396855,1.295219,1.988902,14.931237721021612,76,14.901960784313726,1,0.13821717872805991,11,104,89,10,44.16275405883789,47.5,76.67840178820899,3.926608922417808,2174.888,1,45.77105712890625,28.551822662353516,17.13574981689453,10.276960372924805,6.207369804382324,"⚠ REVISAR (aCompCor combined>30, T2*plaus<80%, mask=2175ml)"
sub-P4,ses-6,BOLDREST2,run-1,True,,,510,0.1379458112350644,0.4710866348316465,0.0,1.282594,2.095969,16.50294695481336,84,16.470588235294116,1,0.29451544685731923,11,100,86,9,44.02208709716797,47.5,77.06207214372255,3.87142570445305,2178.08,1,45.53423309326172,28.825523376464844,17.371864318847656,10.245827674865723,6.167300224304199,"⚠ REVISAR (DVARS spikes>15%, aCompCor combined>30, T2*plaus<80%, mask=2178ml)"
sub-P5,ses-10,BOLDREST2,run-1,True,,,510,0.1016323642693882,0.47366347366773,0.0,1.347296,1.858542,9.823182711198427,50,9.803921568627452,1,0.010340560884612408,16,127,119,17,44.233253479003906,46.5,81.25538925843804,2.179570091155457,2105.288,1,47.199607849121094,30.32831382751465,19.48280906677246,12.256721496582031,7.681927680969238,"⚠ REVISAR (aCompCor combined>30, mask=2105ml)"
sub-P5,ses-10,BOLDREST2,run-2,True,,,510,0.1012805788861226,0.4715234589321415,0.0,1.348922,1.858121,9.62671905697446,49,9.607843137254902,1,0.013541792536724015,16,127,119,17,44.188819885253906,46.5,80.88926891834117,2.242045380138582,2105.496,1,47.2796630859375,30.379741668701172,19.510955810546875,12.2686767578125,7.680493354797363,"⚠ REVISAR (aCompCor combined>30, mask=2105ml)"
sub-P5,ses-6,BOLDREST1,run-2,True,,,510,0.0842769858898285,0.3383542061182938,0.0,1.284591,1.949403,10.805500982318271,55,10.784313725490197,1,-0.021465786849437028,13,125,116,12,44.939964294433594,45.5,80.8590867785605,2.538193284816664,2097.8160000000003,1,45.73417282104492,28.378101348876953,17.919883728027344,11.219883918762207,7.083081245422363,"⚠ REVISAR (aCompCor combined>30, mask=2098ml)"
sub-P5,ses-6,BOLDREST2,run-1,True,,,510,0.0832520286733334,0.5126713620799286,0.19646365422396855,1.317612,1.852998,13.7524557956778,70,13.72549019607843,1,-0.08558765476553756,13,120,111,12,44.38957977294922,48.5,81.18561898852002,2.4972851380701213,2096.7200000000003,1,46.806793212890625,28.76122283935547,18.142366409301758,11.261344909667969,7.042975902557373,"⚠ REVISAR (aCompCor combined>30, mask=2097ml)"
sub-P6,ses-5,BOLDREST1,run-1,True,,,510,0.0644009606693687,0.6175662167179039,0.3929273084479371,1.434836,2.396091,25.147347740667975,128,25.098039215686274,1,-0.004229289324689297,13,112,103,8,44.930335998535156,47.5,80.5762818591842,2.1758509375201522,2129.576,1,48.50778579711914,33.69217300415039,21.596712112426758,13.433531761169434,8.427295684814453,"⚠ REVISAR (DVARS spikes>15%, motion_outliers>20%, aCompCor combined>30, mask=2130ml)"
sub-P6,ses-5,BOLDREST4,run-1,True,,,510,0.063051632649798,0.4304448733282927,0.0,1.439396,2.039018,24.557956777996072,125,24.50980392156863,2,0.20663376413464166,16,116,107,9,45.25300598144531,48.5,80.81091082095469,2.313489756001782,2144.376,1,49.63783645629883,34.4938850402832,22.537065505981445,14.26731014251709,8.975971221923828,"⚠ REVISAR (DVARS spikes>15%, motion_outliers>20%, aCompCor combined>30, mask=2144ml)"
sub-P6,ses-9,BOLDREST3,run-1,True,,,510,0.1323638168570577,1.1201016987501782,3.732809430255403,1.149682,2.643843,17.87819253438114,92,18.03921568627451,1,0.0032252470207119652,15,89,81,12,44.562767028808594,45.5,82.23499111423297,2.5310042260170653,2121.536,1,34.509666442871094,24.367420196533203,16.503284454345703,10.71947193145752,6.8659210205078125,"⚠ REVISAR (DVARS spikes>15%, aCompCor combined>30, mask=2122ml)"
sub-P6,ses-9,BOLDREST4,run-1,True,,,510,0.0637649771009465,1.2376158310552348,3.732809430255403,1.204458,3.176719,11.00196463654224,56,10.980392156862745,2,-0.05554991942307324,10,92,82,7,45.10638427734375,44.5,82.18442359002668,2.6052688073113135,2125.856,1,39.540245056152344,27.06732940673828,18.138320922851562,11.638214111328125,7.3695502281188965,"⚠ REVISAR (aCompCor combined>30, mask=2126ml)"
sub-P7,ses-11,BOLDREST1,run-1,True,,,510,0.1469602526020896,2.0226145838782723,0.19646365422396855,1.339163,2.380195,24.361493123772103,124,24.313725490196077,2,-0.05306901687410203,19,95,76,11,43.864620208740234,44.5,80.34442729089625,2.6157166393406652,2019.232,1,37.769927978515625,25.352413177490234,15.944533348083496,9.881536483764648,6.148213863372803,"⚠ REVISAR (DVARS spikes>15%, motion_outliers>20%, aCompCor combined>30, mask=2019ml)"
sub-P7,ses-11,BOLDREST2,run-1,True,,,510,0.1547947611306838,0.4270922518207702,0.0,1.324385,2.613312,24.165029469548134,123,24.11764705882353,1,0.022195685014510035,29,83,79,12,43.54137420654297,44.5,80.74344838124651,3.5479473538175723,2020.672,1,37.02301025390625,24.92784881591797,15.80595874786377,9.757802963256836,6.090645790100098,"⚠ REVISAR (DVARS spikes>15%, motion_outliers>20%, aCompCor combined>30, mask=2021ml)"
sub-P7,ses-7,BOLDREST1,run-1,True,,,513,0.2000404356944821,0.7200459262042859,1.171875,1.258384,2.199377,6.640625,38,7.407407407407407,1,-0.031503104451595876,26,103,87,12,43.382633209228516,43.5,80.9394118332309,3.133247369879852,2016.288,1,34.632259368896484,22.980575561523438,14.338252067565918,8.838272094726562,5.4873833656311035,"⚠ REVISAR (aCompCor combined>30, mask=2016ml)"
sub-P7,ses-7,BOLDREST2,run-1,True,,,513,0.21445667047234201,0.7892300280232225,2.1484375,1.3331435,1.957723,16.796875,90,17.54385964912281,1,-0.053112498502697204,28,79,73,12,43.11442565917969,43.5,80.59738683450087,3.440279402130883,2020.712,1,34.61433410644531,23.588651657104492,14.862844467163086,9.15343952178955,5.633193016052246,"⚠ REVISAR (DVARS spikes>15%, aCompCor combined>30, mask=2021ml)"
