id,label,x,y,z
152,7Networks_RH_SalVentAttn_FrOperIns_1,41.196721311475414,5.830601092896188,-15.3551912568306
153,7Networks_RH_SalVentAttn_FrOperIns_2,46.17310252996006,-3.440745672436748,-4.25832223701731
154,7Networks_RH_SalVentAttn_FrOperIns_3,36.175824175824175,23.79120879120879,4.813186813186817
155,7Networks_RH_SalVentAttn_FrOperIns_4,43.66929133858267,6.805399325084352,3.8627671541057396
156,7Networks_RH_SalVentAttn_Med_1,7.466299862448423,8.954607977991742,41.21320495185695
157,7Networks_RH_SalVentAttn_Med_2,10.640545144804094,-35.465076660988075,46.75979557069847
158,7Networks_RH_SalVentAttn_Med_3,8.713815789473685,3.51973684210526,65.59868421052633
159,7Networks_RH_Limbic_OFC_1,11.94841735052755,38.607268464243845,-21.472450175849943
160,7Networks_RH_Limbic_OFC_2,28.60081190798377,22.384303112313944,-18.89851150202977
161,7Networks_RH_Limbic_OFC_3,14.860025220680953,64.5422446406053,-7.621689785624213
162,7Networks_RH_Limbic_TempPole_1,29.847902097902093,8.171328671328666,-37.52272727272727
163,7Networks_RH_Limbic_TempPole_2,46.924295774647874,-12.781690140845072,-34.8362676056338
164,7Networks_RH_Limbic_TempPole_3,25.235294117647058,-11.444852941176464,-31.294117647058826
165,7Networks_RH_Cont_Par_1,62.05080831408776,-37.48267898383372,37.24249422632795
166,7Networks_RH_Cont_Par_2,52.76097560975609,-41.70731707317073,48.22926829268293
167,7Networks_RH_Cont_Par_3,37.55555555555556,-62.857142857142854,47.31216931216932
168,7Networks_RH_Cont_Temp_1,62.59840425531914,-41.8936170212766,-11.430851063829785
169,7Networks_RH_Cont_PFCv_1,34.0,21.008264462809905,-8.388429752066116
170,7Networks_RH_Cont_PFCl_1,35.319796954314725,46.3492385786802,-12.521827411167514
171,7Networks_RH_Cont_PFCl_2,29.577889447236174,58.226130653266324,4.889447236180899
172,7Networks_RH_Cont_PFCl_3,43.309197651663396,44.9412915851272,10.471624266144815
173,7Networks_RH_Cont_PFCl_4,45.375115207373284,22.866359447004612,25.970506912442403
174,7Networks_RH_Cont_PFCl_5,29.727361246348593,48.13242453748782,27.117818889970792
175,7Networks_RH_Cont_PFCl_6,40.62946428571428,32.95535714285714,37.24553571428571
176,7Networks_RH_Cont_PFCl_7,42.13430127041741,14.29219600725952,48.97277676950998
177,7Networks_RH_Cont_pCun_1,14.401691331923885,-69.6490486257928,36.46511627906976
178,7Networks_RH_Cont_Cing_1,5.2248520710059125,-25.508875739644964,30.57988165680473
179,7Networks_RH_Cont_Cing_2,4.780952380952385,3.5523809523809575,29.638095238095232
180,7Networks_RH_Cont_PFCmp_1,7.198113207547166,30.427672955974856,27.937106918238996
181,7Networks_RH_Cont_PFCmp_2,7.854368932038838,25.580097087378647,54.7378640776699
182,7Networks_RH_Default_Par_1,47.139240506329116,-69.51139240506329,27.84810126582279
183,7Networks_RH_Default_Par_2,54.428571428571416,-50.05152224824356,28.29508196721312
184,7Networks_RH_Default_Par_3,50.93740902474528,-58.6259097525473,44.317321688500726
185,7Networks_RH_Default_Temp_1,47.03415559772296,12.787476280834909,-29.557874762808346
186,7Networks_RH_Default_Temp_2,60.712522045855366,-13.125220458553798,-20.954144620811284
187,7Networks_RH_Default_Temp_3,54.73833097595474,-6.316831683168317,-9.852899575671856
188,7Networks_RH_Default_Temp_4,62.41684210526316,-26.64421052631579,-5.452631578947361
189,7Networks_RH_Default_Temp_5,52.164146868250526,-31.30453563714903,1.5464362850971867
190,7Networks_RH_Default_PFCv_1,50.929875120076844,27.852065321805952,0.044188280499525945
191,7Networks_RH_Default_PFCdPFCm_1,4.907987866531855,36.33973710819009,-14.038422649140543
192,7Networks_RH_Default_PFCdPFCm_2,7.888324873096451,41.932318104906926,4.033840947546537
193,7Networks_RH_Default_PFCdPFCm_3,6.0,29.05263157894737,14.929824561403507
194,7Networks_RH_Default_PFCdPFCm_4,8.975778546712803,57.45743944636678,18.8166089965398
195,7Networks_RH_Default_PFCdPFCm_5,15.148068669527902,46.10515021459227,43.67381974248927
196,7Networks_RH_Default_PFCdPFCm_6,28.327746741154556,29.851024208566116,42.92737430167598
197,7Networks_RH_Default_PFCdPFCm_7,23.457264957264954,24.31196581196582,52.71367521367522
198,7Networks_RH_Default_pCunPCC_1,12.847107438016522,-54.5495867768595,15.016528925619838
199,7Networks_RH_Default_pCunPCC_2,6.610869565217385,-48.8804347826087,30.378260869565224
200,7Networks_RH_Default_pCunPCC_3,6.540350877192978,-58.161403508771926,44.266666666666666
201,Subcortex_aHIP-rh,26.194690265486727,-14.424778761061944,-20.235988200589972
202,Subcortex_pHIP-rh,28.29452054794521,-30.917808219178085,-7.397260273972606
203,Subcortex_lAMY-rh,27.808219178082197,-2.328767123287676,-23.205479452054796
204,Subcortex_mAMY-rh,21.41666666666667,-5.425925925925924,-17.212962962962962
205,Subcortex_THA-DP-rh,16.925373134328353,-30.86567164179104,2.8258706467661625
206,Subcortex_THA-VP-rh,13.763440860215056,-22.645161290322577,2.795698924731184
207,Subcortex_THA-VA-rh,8.50709219858156,-10.48581560283688,6.872340425531917
208,Subcortex_THA-DA-rh,12.71710526315789,-22.256578947368425,11.92763157894737
209,Subcortex_NAc-shell-rh,11.271428571428572,10.900000000000006,-7.785714285714292
210,Subcortex_NAc-core-rh,14.857142857142861,18.75,-3.785714285714292
211,Subcortex_pGP-rh,23.066666666666663,-8.266666666666666,-1.6444444444444457
212,Subcortex_aGP-rh,17.66666666666667,-0.11111111111111427,-1.7407407407407476
213,Subcortex_aPUT-rh,24.030769230769238,9.125274725274721,-2.9890109890109926
214,Subcortex_pPUT-rh,29.05154639175258,-6.799999999999997,3.3567010309278373
215,Subcortex_aCAU-rh,13.503496503496507,14.650349650349654,6.6293706293706265
216,Subcortex_pCAU-rh,14.71140939597315,3.1946308724832306,16.49664429530202
217,Subcortex_aHIP-lh,-26.17142857142857,-14.171428571428578,-20.32
218,Subcortex_pHIP-lh,-27.869706840390883,-31.289902280130292,-7.094462540716606
219,Subcortex_lAMY-lh,-27.908496732026144,-2.6405228758169983,-22.30065359477124
220,Subcortex_mAMY-lh,-21.15533980582525,-5.291262135922324,-16.883495145631066
221,Subcortex_THA-DP-lh,-15.958333333333329,-30.84166666666667,2.808333333333337
222,Subcortex_THA-VP-lh,-12.737864077669897,-22.533980582524265,2.747572815533985
223,Subcortex_THA-VA-lh,-8.12433392539964,-10.241563055062173,7.200710479573715
224,Subcortex_THA-DA-lh,-11.684210526315795,-22.19883040935673,12.05263157894737
225,Subcortex_NAc-shell-lh,-10.493827160493822,11.160493827160508,-7.345679012345684
226,Subcortex_NAc-core-lh,-14.550458715596335,18.69724770642202,-3.541284403669721
227,Subcortex_pGP-lh,-23.066666666666663,-8.266666666666666,-1.6444444444444457
228,Subcortex_aGP-lh,-17.66666666666667,-0.11111111111111427,-1.7407407407407476
229,Subcortex_aPUT-lh,-23.967741935483872,9.16129032258064,-2.5944700460829466
230,Subcortex_pPUT-lh,-29.05154639175258,-6.799999999999997,3.3567010309278373
231,Subcortex_aCAU-lh,-12.565349544072944,14.249240121580556,6.571428571428569
232,Subcortex_pCAU-lh,-13.86440677966101,3.062146892655363,16.293785310734464
